2023-08-13 00:16:07,788 - PORT ELIZABETH AWOS - INFO - TCN model training started at PORT ELIZABETH AWOS
2023-08-13 00:16:07,977 - PORT ELIZABETH AWOS - INFO - TCN Model on split 1/1 at PORT ELIZABETH AWOS station forecasting 3 hours ahead.
2023-08-13 00:16:26,367 - PORT ELIZABETH AWOS - INFO - Date 2010-01-02 04:00:00 Index 28 - Actual: 0.41284403669724745, Predicted: 5.001314163208008
2023-08-13 00:16:26,492 - PORT ELIZABETH AWOS - INFO - Date 2010-01-02 05:00:00 Index 29 - Actual: 0.3119266055045873, Predicted: -8.638479232788086
2023-08-13 00:16:26,606 - PORT ELIZABETH AWOS - INFO - Date 2010-01-02 06:00:00 Index 30 - Actual: 0.41284403669724745, Predicted: 9.14365291595459
2023-08-13 00:16:26,725 - PORT ELIZABETH AWOS - INFO - Date 2010-01-02 07:00:00 Index 31 - Actual: 0.3119266055045873, Predicted: 4.9926862716674805
2023-08-13 00:16:26,838 - PORT ELIZABETH AWOS - INFO - Date 2010-01-02 08:00:00 Index 32 - Actual: 0.22935779816513757, Predicted: -8.633784294128418
2023-08-13 00:16:26,952 - PORT ELIZABETH AWOS - INFO - Date 2010-01-02 09:00:00 Index 33 - Actual: 0.6146788990825687, Predicted: 9.115873336791992
2023-08-13 00:16:27,063 - PORT ELIZABETH AWOS - INFO - Date 2010-01-02 10:00:00 Index 34 - Actual: 0.5871559633027521, Predicted: 5.04356050491333
2023-08-13 00:16:27,175 - PORT ELIZABETH AWOS - INFO - Date 2010-01-02 11:00:00 Index 35 - Actual: 0.5045871559633024, Predicted: -8.688885688781738
2023-08-13 00:16:27,285 - PORT ELIZABETH AWOS - INFO - Date 2010-01-02 12:00:00 Index 36 - Actual: 0.5045871559633024, Predicted: 9.11254596710205
2023-08-13 00:16:27,397 - PORT ELIZABETH AWOS - INFO - Date 2010-01-02 13:00:00 Index 37 - Actual: 0.39449541284403655, Predicted: 5.015488624572754
2023-08-13 00:16:27,507 - PORT ELIZABETH AWOS - INFO - Date 2010-01-02 14:00:00 Index 38 - Actual: 0.3119266055045873, Predicted: -8.689038276672363
2023-08-13 00:16:27,618 - PORT ELIZABETH AWOS - INFO - Date 2010-01-02 15:00:00 Index 39 - Actual: 0.7064220183486241, Predicted: 9.060694694519043
2023-08-13 00:16:27,729 - PORT ELIZABETH AWOS - INFO - Date 2010-01-02 16:00:00 Index 40 - Actual: 0.7064220183486241, Predicted: 5.037900924682617
