2023-08-04 21:37:26,005 - ALEXANDERBAAI - INFO - TCN model training started at ALEXANDERBAAI
2023-08-04 21:37:26,230 - ALEXANDERBAAI - INFO - tcnTrain :TCN Model on split 1/47 at ALEXANDERBAAI station forecasting 3 hours ahead.
2023-08-04 21:37:37,138 - ALEXANDERBAAI - INFO - tcnTrain : TCN training done on split 1/47 at ALEXANDERBAAI station forecasting 3 hours ahead.
2023-08-04 21:37:37,140 - ALEXANDERBAAI - INFO - tcnTrain : TCN training finished at ALEXANDERBAAI
2023-08-04 21:56:02,438 - ALEXANDERBAAI - INFO - TCN model training started at ALEXANDERBAAI
2023-08-04 21:56:02,612 - ALEXANDERBAAI - INFO - tcnTrain :TCN Model on split 1/1 at ALEXANDERBAAI station forecasting 3 hours ahead.
2023-08-04 21:56:10,666 - ALEXANDERBAAI - INFO - tcnTrain : TCN training done on split 1/47 at ALEXANDERBAAI station forecasting 3 hours ahead.
2023-08-04 21:56:10,668 - ALEXANDERBAAI - INFO - tcnTrain : TCN training finished at ALEXANDERBAAI
2023-08-04 22:08:42,504 - ALEXANDERBAAI - INFO - TCN model training started at ALEXANDERBAAI
2023-08-04 22:08:42,737 - ALEXANDERBAAI - INFO - tcnTrain :TCN Model on split 1/1 at ALEXANDERBAAI station forecasting 3 hours ahead.
2023-08-04 22:08:52,838 - ALEXANDERBAAI - INFO - tcnTrain : TCN training done on split 1/1 at ALEXANDERBAAI station forecasting 3 hours ahead.
2023-08-04 22:08:52,841 - ALEXANDERBAAI - INFO - tcnTrain : TCN training finished at ALEXANDERBAAI
2023-08-04 22:19:35,799 - ALEXANDERBAAI - INFO - TCN model training started at ALEXANDERBAAI
2023-08-04 22:19:35,959 - ALEXANDERBAAI - INFO - tcnTrain :TCN Model on split 1/1 at ALEXANDERBAAI station forecasting 3 hours ahead.
2023-08-04 22:19:42,978 - ALEXANDERBAAI - INFO - tcnTrain : TCN training done on split 1/1 at ALEXANDERBAAI station forecasting 3 hours ahead.
2023-08-04 22:19:42,980 - ALEXANDERBAAI - INFO - tcnTrain : TCN training finished at ALEXANDERBAAI
2023-08-04 22:39:38,926 - ALEXANDERBAAI - INFO - TCN model training started at ALEXANDERBAAI
2023-08-04 22:39:39,107 - ALEXANDERBAAI - INFO - tcnTrain :TCN Model on split 1/1 at ALEXANDERBAAI station forecasting 3 hours ahead.
2023-08-04 22:39:51,984 - ALEXANDERBAAI - INFO - Saving the actual vs predicted comparison to a CSV file.
2023-08-04 22:40:09,323 - ALEXANDERBAAI - INFO - Date 2010-01-04 21:00:00 Index 93 - Actual: 0.6956521739130435, Predicted: -0.5695428848266602
2023-08-04 22:40:09,476 - ALEXANDERBAAI - INFO - Date 2010-01-04 22:00:00 Index 94 - Actual: 0.6173913043478263, Predicted: 0.5136217474937439
2023-08-04 22:40:09,628 - ALEXANDERBAAI - INFO - Date 2010-01-04 23:00:00 Index 95 - Actual: 0.5652173913043479, Predicted: -0.308098167181015
2023-08-04 22:40:09,780 - ALEXANDERBAAI - INFO - Date 2010-01-05 00:00:00 Index 96 - Actual: 0.6608695652173915, Predicted: -0.5817123651504517
2023-08-04 22:40:09,934 - ALEXANDERBAAI - INFO - Date 2010-01-05 01:00:00 Index 97 - Actual: 0.6956521739130435, Predicted: 0.47642770409584045
2023-08-04 22:40:10,081 - ALEXANDERBAAI - INFO - Date 2010-01-05 02:00:00 Index 98 - Actual: 0.6173913043478263, Predicted: -0.2769691050052643
2023-08-04 22:40:10,239 - ALEXANDERBAAI - INFO - Date 2010-01-05 03:00:00 Index 99 - Actual: 0.7043478260869567, Predicted: -0.8505571484565735
2023-08-04 22:40:10,392 - ALEXANDERBAAI - INFO - Date 2010-01-05 04:00:00 Index 100 - Actual: 0.8521739130434782, Predicted: 0.43299394845962524
2023-08-04 22:40:10,531 - ALEXANDERBAAI - INFO - Date 2010-01-05 05:00:00 Index 101 - Actual: 0.7652173913043478, Predicted: -0.7320038676261902
2023-08-04 22:40:10,672 - ALEXANDERBAAI - INFO - Date 2010-01-05 06:00:00 Index 102 - Actual: 0.5913043478260871, Predicted: -0.6337165832519531
2023-08-04 22:40:10,814 - ALEXANDERBAAI - INFO - Date 2010-01-05 07:00:00 Index 103 - Actual: 0.6608695652173915, Predicted: 0.42894870042800903
2023-08-04 22:40:10,963 - ALEXANDERBAAI - INFO - Date 2010-01-05 08:00:00 Index 104 - Actual: 0.7217391304347827, Predicted: -0.7880504727363586
2023-08-04 22:40:11,124 - ALEXANDERBAAI - INFO - Date 2010-01-05 09:00:00 Index 105 - Actual: 0.4347826086956521, Predicted: -0.8968546390533447
2023-08-04 22:40:11,284 - ALEXANDERBAAI - INFO - Date 2010-01-05 10:00:00 Index 106 - Actual: 0.3913043478260869, Predicted: 0.6586747765541077
2023-08-04 22:40:11,421 - ALEXANDERBAAI - INFO - Date 2010-01-05 11:00:00 Index 107 - Actual: 0.37391304347826093, Predicted: -0.9665067195892334
2023-08-04 22:40:11,572 - ALEXANDERBAAI - INFO - Date 2010-01-05 12:00:00 Index 108 - Actual: 0.5043478260869565, Predicted: -0.7458611726760864
2023-08-04 22:40:11,727 - ALEXANDERBAAI - INFO - Date 2010-01-05 13:00:00 Index 109 - Actual: 0.6347826086956523, Predicted: 0.25648730993270874
2023-08-04 22:40:11,874 - ALEXANDERBAAI - INFO - Date 2010-01-05 14:00:00 Index 110 - Actual: 0.7130434782608694, Predicted: -0.8772748708724976
2023-08-04 22:40:12,012 - ALEXANDERBAAI - INFO - Date 2010-01-05 15:00:00 Index 111 - Actual: 0.3826086956521737, Predicted: -0.7660369873046875
2023-08-04 22:40:12,154 - ALEXANDERBAAI - INFO - Date 2010-01-05 16:00:00 Index 112 - Actual: 0.3826086956521737, Predicted: 0.3962462544441223
2023-08-04 22:40:12,292 - ALEXANDERBAAI - INFO - Date 2010-01-05 17:00:00 Index 113 - Actual: 0.4086956521739129, Predicted: -0.8533362746238708
2023-08-04 22:40:12,434 - ALEXANDERBAAI - INFO - Date 2010-01-05 18:00:00 Index 114 - Actual: 0.4695652173913043, Predicted: -0.5091660022735596
2023-08-04 22:40:12,574 - ALEXANDERBAAI - INFO - Date 2010-01-05 19:00:00 Index 115 - Actual: 0.4608695652173913, Predicted: 0.46154844760894775
2023-08-04 22:40:12,724 - ALEXANDERBAAI - INFO - Date 2010-01-05 20:00:00 Index 116 - Actual: 0.4869565217391305, Predicted: -0.5547685623168945
2023-08-04 22:40:12,885 - ALEXANDERBAAI - INFO - Date 2010-01-05 21:00:00 Index 117 - Actual: 0.7217391304347827, Predicted: -0.32746949791908264
2023-08-04 22:40:13,028 - ALEXANDERBAAI - INFO - Date 2010-01-05 22:00:00 Index 118 - Actual: 0.5739130434782611, Predicted: 0.6766663193702698
2023-08-04 22:40:13,167 - ALEXANDERBAAI - INFO - Date 2010-01-05 23:00:00 Index 119 - Actual: 0.5565217391304347, Predicted: -0.5551865100860596
2023-08-04 22:40:13,310 - ALEXANDERBAAI - INFO - Date 2010-01-06 00:00:00 Index 120 - Actual: 0.6260869565217391, Predicted: -0.5978471636772156
2023-08-04 22:40:13,448 - ALEXANDERBAAI - INFO - Date 2010-01-06 01:00:00 Index 121 - Actual: 0.6086956521739131, Predicted: 0.5183932781219482
2023-08-04 22:40:13,608 - ALEXANDERBAAI - INFO - Date 2010-01-06 02:00:00 Index 122 - Actual: 0.5826086956521739, Predicted: -0.3853582739830017
2023-08-04 22:40:13,758 - ALEXANDERBAAI - INFO - Date 2010-01-06 03:00:00 Index 123 - Actual: 0.19130434782608696, Predicted: -0.6191291213035583
2023-08-04 22:40:13,911 - ALEXANDERBAAI - INFO - Date 2010-01-06 04:00:00 Index 124 - Actual: 0.14782608695652177, Predicted: 0.4756859540939331
2023-08-04 22:40:14,100 - ALEXANDERBAAI - INFO - Date 2010-01-06 05:00:00 Index 125 - Actual: 0.11304347826086958, Predicted: -0.8952549695968628
2023-08-04 22:40:14,255 - ALEXANDERBAAI - INFO - Date 2010-01-06 06:00:00 Index 126 - Actual: 0.4086956521739129, Predicted: -0.6613016724586487
2023-08-04 22:40:14,394 - ALEXANDERBAAI - INFO - Date 2010-01-06 07:00:00 Index 127 - Actual: 0.3913043478260869, Predicted: 0.43692222237586975
2023-08-04 22:40:14,532 - ALEXANDERBAAI - INFO - Date 2010-01-06 08:00:00 Index 128 - Actual: 0.40000000000000013, Predicted: -0.821603000164032
2023-08-04 22:40:14,684 - ALEXANDERBAAI - INFO - Date 2010-01-06 09:00:00 Index 129 - Actual: 0.6173913043478263, Predicted: -0.9147905111312866
2023-08-04 22:40:14,845 - ALEXANDERBAAI - INFO - Date 2010-01-06 10:00:00 Index 130 - Actual: 0.6869565217391302, Predicted: 0.4956414997577667
2023-08-04 22:40:14,989 - ALEXANDERBAAI - INFO - Date 2010-01-06 11:00:00 Index 131 - Actual: 0.7565217391304346, Predicted: -0.8405874371528625
2023-08-04 22:40:15,126 - ALEXANDERBAAI - INFO - Date 2010-01-06 12:00:00 Index 132 - Actual: 0.791304347826087, Predicted: -0.7000793814659119
2023-08-04 22:40:15,270 - ALEXANDERBAAI - INFO - Date 2010-01-06 13:00:00 Index 133 - Actual: 0.7565217391304346, Predicted: 0.5426527261734009
2023-08-04 22:40:15,408 - ALEXANDERBAAI - INFO - Date 2010-01-06 14:00:00 Index 134 - Actual: 0.6869565217391302, Predicted: -0.34302619099617004
2023-08-04 22:40:15,549 - ALEXANDERBAAI - INFO - Date 2010-01-06 15:00:00 Index 135 - Actual: 0.817391304347826, Predicted: -0.6517560482025146
2023-08-04 22:40:15,688 - ALEXANDERBAAI - INFO - Date 2010-01-06 16:00:00 Index 136 - Actual: 0.808695652173913, Predicted: 0.5655497908592224
2023-08-04 22:40:15,828 - ALEXANDERBAAI - INFO - Date 2010-01-06 17:00:00 Index 137 - Actual: 0.8434782608695652, Predicted: -0.28126421570777893
2023-08-04 22:40:15,973 - ALEXANDERBAAI - INFO - Date 2010-01-06 18:00:00 Index 138 - Actual: 0.4260869565217391, Predicted: -0.7949218153953552
2023-08-04 22:40:16,117 - ALEXANDERBAAI - INFO - Date 2010-01-06 19:00:00 Index 139 - Actual: 0.4869565217391305, Predicted: 0.3856283724308014
2023-08-04 22:40:16,327 - ALEXANDERBAAI - INFO - Date 2010-01-06 20:00:00 Index 140 - Actual: 0.5826086956521739, Predicted: -0.8675099611282349
2023-08-04 22:40:16,498 - ALEXANDERBAAI - INFO - Date 2010-01-06 21:00:00 Index 141 - Actual: 0.3913043478260869, Predicted: -0.7232025861740112
2023-08-04 22:40:16,666 - ALEXANDERBAAI - INFO - Date 2010-01-06 22:00:00 Index 142 - Actual: 0.34782608695652173, Predicted: 0.5132330060005188
2023-08-04 22:40:16,826 - ALEXANDERBAAI - INFO - Date 2010-01-06 23:00:00 Index 143 - Actual: 0.3217391304347825, Predicted: -0.608154833316803
2023-08-04 22:40:16,965 - ALEXANDERBAAI - INFO - Date 2010-01-07 00:00:00 Index 144 - Actual: 0.7652173913043478, Predicted: -0.7079980969429016
2023-08-04 22:40:17,101 - ALEXANDERBAAI - INFO - Date 2010-01-07 01:00:00 Index 145 - Actual: 0.7565217391304346, Predicted: 0.5884860157966614
2023-08-04 22:40:17,235 - ALEXANDERBAAI - INFO - Date 2010-01-07 02:00:00 Index 146 - Actual: 0.7304347826086954, Predicted: -0.39157649874687195
2023-08-04 22:40:17,374 - ALEXANDERBAAI - INFO - Date 2010-01-07 03:00:00 Index 147 - Actual: 0.4347826086956521, Predicted: -0.6867761611938477
2023-08-04 22:40:17,513 - ALEXANDERBAAI - INFO - Date 2010-01-07 04:00:00 Index 148 - Actual: 0.40000000000000013, Predicted: 0.39717474579811096
2023-08-04 22:40:17,659 - ALEXANDERBAAI - INFO - Date 2010-01-07 05:00:00 Index 149 - Actual: 0.40000000000000013, Predicted: -0.8334681391716003
2023-08-04 22:40:17,807 - ALEXANDERBAAI - INFO - Date 2010-01-07 06:00:00 Index 150 - Actual: 0.7739130434782608, Predicted: -0.3522960841655731
2023-08-04 22:40:18,013 - ALEXANDERBAAI - INFO - Date 2010-01-07 07:00:00 Index 151 - Actual: 0.7739130434782608, Predicted: 0.5492348074913025
2023-08-04 22:40:18,151 - ALEXANDERBAAI - INFO - Date 2010-01-07 08:00:00 Index 152 - Actual: 0.7565217391304346, Predicted: -0.42702245712280273
2023-08-04 22:40:18,299 - ALEXANDERBAAI - INFO - Date 2010-01-07 09:00:00 Index 153 - Actual: 0.3913043478260869, Predicted: -0.800467312335968
2023-08-04 22:40:18,453 - ALEXANDERBAAI - INFO - Date 2010-01-07 10:00:00 Index 154 - Actual: 0.5739130434782611, Predicted: 0.388981431722641
2023-08-04 22:40:18,599 - ALEXANDERBAAI - INFO - Date 2010-01-07 11:00:00 Index 155 - Actual: 0.6086956521739131, Predicted: -0.9195355176925659
2023-08-04 22:40:18,764 - ALEXANDERBAAI - INFO - Date 2010-01-07 12:00:00 Index 156 - Actual: 0.6869565217391302, Predicted: -0.6381009817123413
2023-08-04 22:40:18,935 - ALEXANDERBAAI - INFO - Date 2010-01-07 13:00:00 Index 157 - Actual: 0.6260869565217391, Predicted: 0.5285396575927734
2023-08-04 22:40:19,094 - ALEXANDERBAAI - INFO - Date 2010-01-07 14:00:00 Index 158 - Actual: 0.6086956521739131, Predicted: -0.4078063368797302
2023-08-04 22:40:19,250 - ALEXANDERBAAI - INFO - Date 2010-01-07 15:00:00 Index 159 - Actual: 0.4869565217391305, Predicted: -0.6292973160743713
2023-08-04 22:40:19,397 - ALEXANDERBAAI - INFO - Date 2010-01-07 16:00:00 Index 160 - Actual: 0.4260869565217391, Predicted: 0.5115238428115845
2023-08-04 22:40:19,563 - ALEXANDERBAAI - INFO - Date 2010-01-07 17:00:00 Index 161 - Actual: 0.40000000000000013, Predicted: -0.39839452505111694
2023-08-04 22:40:19,740 - ALEXANDERBAAI - INFO - Date 2010-01-07 18:00:00 Index 162 - Actual: 0.5304347826086957, Predicted: -0.5304705500602722
2023-08-04 22:40:19,908 - ALEXANDERBAAI - INFO - Date 2010-01-07 19:00:00 Index 163 - Actual: 0.4695652173913043, Predicted: 0.3501220941543579
2023-08-04 22:40:20,085 - ALEXANDERBAAI - INFO - Date 2010-01-07 20:00:00 Index 164 - Actual: 0.4608695652173913, Predicted: -0.4207771420478821
2023-08-04 22:40:20,258 - ALEXANDERBAAI - INFO - Date 2010-01-07 21:00:00 Index 165 - Actual: 0.4347826086956521, Predicted: -0.6896653771400452
2023-08-04 22:40:20,397 - ALEXANDERBAAI - INFO - Date 2010-01-07 22:00:00 Index 166 - Actual: 0.4521739130434783, Predicted: 0.5814568996429443
2023-08-04 22:40:20,556 - ALEXANDERBAAI - INFO - Date 2010-01-07 23:00:00 Index 167 - Actual: 0.4608695652173913, Predicted: -0.5939149856567383
2023-08-04 22:40:20,707 - ALEXANDERBAAI - INFO - Date 2010-01-08 00:00:00 Index 168 - Actual: 0.40000000000000013, Predicted: -0.7627831697463989
2023-08-04 22:40:20,845 - ALEXANDERBAAI - INFO - Date 2010-01-08 01:00:00 Index 169 - Actual: 0.3826086956521737, Predicted: 0.3943280279636383
2023-08-04 22:40:20,977 - ALEXANDERBAAI - INFO - Date 2010-01-08 02:00:00 Index 170 - Actual: 0.3826086956521737, Predicted: -0.9008017778396606
2023-08-04 22:40:21,112 - ALEXANDERBAAI - INFO - Date 2010-01-08 03:00:00 Index 171 - Actual: 0.25217391304347836, Predicted: -0.4466171860694885
2023-08-04 22:40:21,265 - ALEXANDERBAAI - INFO - Date 2010-01-08 04:00:00 Index 172 - Actual: 0.20869565217391317, Predicted: 0.30884096026420593
2023-08-04 22:40:21,410 - ALEXANDERBAAI - INFO - Date 2010-01-08 05:00:00 Index 173 - Actual: 0.18260869565217397, Predicted: -0.5308243632316589
2023-08-04 22:40:21,544 - ALEXANDERBAAI - INFO - Date 2010-01-08 06:00:00 Index 174 - Actual: 0.4086956521739129, Predicted: -0.7658310532569885
2023-08-04 22:40:21,680 - ALEXANDERBAAI - INFO - Date 2010-01-08 07:00:00 Index 175 - Actual: 0.3826086956521737, Predicted: 0.3790692687034607
2023-08-04 22:40:21,820 - ALEXANDERBAAI - INFO - Date 2010-01-08 08:00:00 Index 176 - Actual: 0.3826086956521737, Predicted: -0.9501855969429016
2023-08-04 22:40:22,001 - ALEXANDERBAAI - INFO - Date 2010-01-08 09:00:00 Index 177 - Actual: 0.6086956521739131, Predicted: -0.8756659626960754
2023-08-04 22:40:22,173 - ALEXANDERBAAI - INFO - Date 2010-01-08 10:00:00 Index 178 - Actual: 0.6173913043478263, Predicted: 0.5440889596939087
2023-08-04 22:40:22,312 - ALEXANDERBAAI - INFO - Date 2010-01-08 11:00:00 Index 179 - Actual: 0.6956521739130435, Predicted: -0.5829467177391052
2023-08-04 22:40:22,449 - ALEXANDERBAAI - INFO - Date 2010-01-08 12:00:00 Index 180 - Actual: 0.26956521739130435, Predicted: -0.688610851764679
2023-08-04 22:40:22,588 - ALEXANDERBAAI - INFO - Date 2010-01-08 13:00:00 Index 181 - Actual: 0.24347826086956537, Predicted: 0.33608952164649963
2023-08-04 22:40:22,725 - ALEXANDERBAAI - INFO - Date 2010-01-08 14:00:00 Index 182 - Actual: 0.21739130434782616, Predicted: -0.8483707308769226
2023-08-04 22:40:22,867 - ALEXANDERBAAI - INFO - Date 2010-01-08 15:00:00 Index 183 - Actual: 0.20000000000000018, Predicted: -0.7155314087867737
2023-08-04 22:40:23,011 - ALEXANDERBAAI - INFO - Date 2010-01-08 16:00:00 Index 184 - Actual: 0.20869565217391317, Predicted: 0.361508309841156
2023-08-04 22:40:23,169 - ALEXANDERBAAI - INFO - Date 2010-01-08 17:00:00 Index 185 - Actual: 0.26956521739130435, Predicted: -0.946262538433075
2023-08-04 22:40:23,309 - ALEXANDERBAAI - INFO - Date 2010-01-08 18:00:00 Index 186 - Actual: 0.643478260869565, Predicted: -0.42744341492652893
2023-08-04 22:40:23,447 - ALEXANDERBAAI - INFO - Date 2010-01-08 19:00:00 Index 187 - Actual: 0.4956521739130435, Predicted: 0.5502501130104065
2023-08-04 22:40:23,584 - ALEXANDERBAAI - INFO - Date 2010-01-08 20:00:00 Index 188 - Actual: 0.4608695652173913, Predicted: -0.35273781418800354
2023-08-04 22:40:23,722 - ALEXANDERBAAI - INFO - Date 2010-01-08 21:00:00 Index 189 - Actual: 0.6173913043478263, Predicted: -0.6147966384887695
2023-08-04 22:40:23,860 - ALEXANDERBAAI - INFO - Date 2010-01-08 22:00:00 Index 190 - Actual: 0.5652173913043479, Predicted: 0.49977049231529236
2023-08-04 22:40:24,005 - ALEXANDERBAAI - INFO - Date 2010-01-08 23:00:00 Index 191 - Actual: 0.4869565217391305, Predicted: -0.31163695454597473
2023-08-04 22:40:24,145 - ALEXANDERBAAI - INFO - Date 2010-01-09 00:00:00 Index 192 - Actual: 0.7565217391304346, Predicted: -0.48362863063812256
2023-08-04 22:40:24,319 - ALEXANDERBAAI - INFO - Date 2010-01-09 01:00:00 Index 193 - Actual: 0.643478260869565, Predicted: 0.5452432632446289
2023-08-04 22:40:24,459 - ALEXANDERBAAI - INFO - Date 2010-01-09 02:00:00 Index 194 - Actual: 0.4956521739130435, Predicted: -0.3830907940864563
2023-08-04 22:40:24,592 - ALEXANDERBAAI - INFO - Date 2010-01-09 03:00:00 Index 195 - Actual: 0.643478260869565, Predicted: -0.5211963057518005
2023-08-04 22:40:24,735 - ALEXANDERBAAI - INFO - Date 2010-01-09 04:00:00 Index 196 - Actual: 0.6695652173913043, Predicted: 0.41863492131233215
2023-08-04 22:40:24,913 - ALEXANDERBAAI - INFO - Date 2010-01-09 05:00:00 Index 197 - Actual: 0.5304347826086957, Predicted: -0.4349094331264496
2023-08-04 22:40:25,068 - ALEXANDERBAAI - INFO - Date 2010-01-09 06:00:00 Index 198 - Actual: 0.07826086956521738, Predicted: -0.6993449926376343
2023-08-04 22:40:25,215 - ALEXANDERBAAI - INFO - Date 2010-01-09 07:00:00 Index 199 - Actual: 0.060869565217391175, Predicted: 0.2687895894050598
2023-08-04 22:40:25,345 - ALEXANDERBAAI - INFO - Date 2010-01-09 08:00:00 Index 200 - Actual: 0.08695652173913038, Predicted: -1.004778265953064
2023-08-04 22:40:25,478 - ALEXANDERBAAI - INFO - Date 2010-01-09 09:00:00 Index 201 - Actual: 0.3652173913043477, Predicted: -0.8291602730751038
2023-08-04 22:40:25,610 - ALEXANDERBAAI - INFO - Date 2010-01-09 10:00:00 Index 202 - Actual: 0.3391304347826085, Predicted: 0.4546801745891571
2023-08-04 22:40:25,748 - ALEXANDERBAAI - INFO - Date 2010-01-09 11:00:00 Index 203 - Actual: 0.35652173913043494, Predicted: -0.8393132090568542
2023-08-04 22:40:25,886 - ALEXANDERBAAI - INFO - Date 2010-01-09 12:00:00 Index 204 - Actual: 0.6173913043478263, Predicted: -0.7490425109863281
2023-08-04 22:40:26,028 - ALEXANDERBAAI - INFO - Date 2010-01-09 13:00:00 Index 205 - Actual: 0.6956521739130435, Predicted: 0.5490447878837585
2023-08-04 22:40:26,175 - ALEXANDERBAAI - INFO - Date 2010-01-09 14:00:00 Index 206 - Actual: 0.6782608695652175, Predicted: -0.4570887088775635
2023-08-04 22:40:26,321 - ALEXANDERBAAI - INFO - Date 2010-01-09 15:00:00 Index 207 - Actual: 0.7217391304347827, Predicted: -0.4166066348552704
2023-08-04 22:40:26,450 - ALEXANDERBAAI - INFO - Date 2010-01-09 16:00:00 Index 208 - Actual: 0.808695652173913, Predicted: 0.4160156548023224
2023-08-04 22:40:26,586 - ALEXANDERBAAI - INFO - Date 2010-01-09 17:00:00 Index 209 - Actual: 0.817391304347826, Predicted: -0.2866010069847107
2023-08-04 22:40:26,726 - ALEXANDERBAAI - INFO - Date 2010-01-09 18:00:00 Index 210 - Actual: 0.08695652173913038, Predicted: -0.7312360405921936
2023-08-04 22:40:26,865 - ALEXANDERBAAI - INFO - Date 2010-01-09 19:00:00 Index 211 - Actual: 0.26956521739130435, Predicted: 0.25863760709762573
2023-08-04 22:40:27,024 - ALEXANDERBAAI - INFO - Date 2010-01-09 20:00:00 Index 212 - Actual: 0.4608695652173913, Predicted: -1.0963377952575684
2023-08-04 22:40:27,156 - ALEXANDERBAAI - INFO - Date 2010-01-09 21:00:00 Index 213 - Actual: 0.4608695652173913, Predicted: -0.5894635915756226
2023-08-04 22:40:27,284 - ALEXANDERBAAI - INFO - Date 2010-01-09 22:00:00 Index 214 - Actual: 0.4869565217391305, Predicted: 0.5197910070419312
2023-08-04 22:40:27,413 - ALEXANDERBAAI - INFO - Date 2010-01-09 23:00:00 Index 215 - Actual: 0.4956521739130435, Predicted: -0.632322371006012
2023-08-04 22:40:27,544 - ALEXANDERBAAI - INFO - Date 2010-01-10 00:00:00 Index 216 - Actual: 0.5739130434782611, Predicted: -0.4057232737541199
2023-08-04 22:40:27,685 - ALEXANDERBAAI - INFO - Date 2010-01-10 01:00:00 Index 217 - Actual: 0.5565217391304347, Predicted: 0.6717681884765625
2023-08-04 22:40:27,819 - ALEXANDERBAAI - INFO - Date 2010-01-10 02:00:00 Index 218 - Actual: 0.5304347826086957, Predicted: -0.442992627620697
2023-08-04 22:40:27,957 - ALEXANDERBAAI - INFO - Date 2010-01-10 03:00:00 Index 219 - Actual: 0.4521739130434783, Predicted: -0.675028383731842
2023-08-04 22:40:28,157 - ALEXANDERBAAI - INFO - Date 2010-01-10 04:00:00 Index 220 - Actual: 0.4608695652173913, Predicted: 0.5031754374504089
2023-08-04 22:40:28,312 - ALEXANDERBAAI - INFO - Date 2010-01-10 05:00:00 Index 221 - Actual: 0.4608695652173913, Predicted: -0.7744114995002747
2023-08-04 22:40:28,466 - ALEXANDERBAAI - INFO - Date 2010-01-10 06:00:00 Index 222 - Actual: 0.4260869565217391, Predicted: -0.5042984485626221
2023-08-04 22:40:28,601 - ALEXANDERBAAI - INFO - Date 2010-01-10 07:00:00 Index 223 - Actual: 0.3913043478260869, Predicted: 0.5526580810546875
2023-08-04 22:40:28,728 - ALEXANDERBAAI - INFO - Date 2010-01-10 08:00:00 Index 224 - Actual: 0.3913043478260869, Predicted: -0.3871241807937622
2023-08-04 22:40:28,858 - ALEXANDERBAAI - INFO - Date 2010-01-10 09:00:00 Index 225 - Actual: 0.4173913043478261, Predicted: -0.4875109791755676
2023-08-04 22:40:28,996 - ALEXANDERBAAI - INFO - Date 2010-01-10 10:00:00 Index 226 - Actual: 0.3217391304347825, Predicted: 0.610762357711792
2023-08-04 22:40:29,142 - ALEXANDERBAAI - INFO - Date 2010-01-10 11:00:00 Index 227 - Actual: 0.26956521739130435, Predicted: -0.49175822734832764
2023-08-04 22:40:29,281 - ALEXANDERBAAI - INFO - Date 2010-01-10 12:00:00 Index 228 - Actual: 0.5826086956521739, Predicted: -0.8507881164550781
2023-08-04 22:40:29,424 - ALEXANDERBAAI - INFO - Date 2010-01-10 13:00:00 Index 229 - Actual: 0.7043478260869567, Predicted: 0.41472432017326355
2023-08-04 22:40:29,565 - ALEXANDERBAAI - INFO - Date 2010-01-10 14:00:00 Index 230 - Actual: 0.8521739130434782, Predicted: -0.8178648352622986
2023-08-04 22:40:29,714 - ALEXANDERBAAI - INFO - Date 2010-01-10 15:00:00 Index 231 - Actual: 0.3913043478260869, Predicted: -0.59141606092453
2023-08-04 22:40:29,865 - ALEXANDERBAAI - INFO - Date 2010-01-10 16:00:00 Index 232 - Actual: 0.37391304347826093, Predicted: 0.31956666707992554
2023-08-04 22:40:30,018 - ALEXANDERBAAI - INFO - Date 2010-01-10 17:00:00 Index 233 - Actual: 0.3652173913043477, Predicted: -0.8785337209701538
2023-08-04 22:40:30,174 - ALEXANDERBAAI - INFO - Date 2010-01-10 18:00:00 Index 234 - Actual: 0.6956521739130435, Predicted: -0.6912882328033447
2023-08-04 22:40:30,334 - ALEXANDERBAAI - INFO - Date 2010-01-10 19:00:00 Index 235 - Actual: 0.6782608695652175, Predicted: 0.5282304286956787
2023-08-04 22:40:30,476 - ALEXANDERBAAI - INFO - Date 2010-01-10 20:00:00 Index 236 - Actual: 0.6869565217391302, Predicted: -0.4042401909828186
2023-08-04 22:40:30,620 - ALEXANDERBAAI - INFO - Date 2010-01-10 21:00:00 Index 237 - Actual: 0.11304347826086958, Predicted: -0.726384699344635
2023-08-04 22:40:30,758 - ALEXANDERBAAI - INFO - Date 2010-01-10 22:00:00 Index 238 - Actual: 0.07826086956521738, Predicted: 0.3667422831058502
2023-08-04 22:40:30,898 - ALEXANDERBAAI - INFO - Date 2010-01-10 23:00:00 Index 239 - Actual: 0.060869565217391175, Predicted: -0.9179810285568237
2023-08-04 22:40:31,036 - ALEXANDERBAAI - INFO - Date 2010-01-11 00:00:00 Index 240 - Actual: 0.4956521739130435, Predicted: -0.32052189111709595
2023-08-04 22:40:31,175 - ALEXANDERBAAI - INFO - Date 2010-01-11 01:00:00 Index 241 - Actual: 0.4608695652173913, Predicted: 0.45107024908065796
2023-08-04 22:40:31,316 - ALEXANDERBAAI - INFO - Date 2010-01-11 02:00:00 Index 242 - Actual: 0.4347826086956521, Predicted: -0.3521518409252167
2023-08-04 22:40:31,459 - ALEXANDERBAAI - INFO - Date 2010-01-11 03:00:00 Index 243 - Actual: 0.6086956521739131, Predicted: -0.6846383810043335
2023-08-04 22:40:31,601 - ALEXANDERBAAI - INFO - Date 2010-01-11 04:00:00 Index 244 - Actual: 0.5826086956521739, Predicted: 0.6162249445915222
2023-08-04 22:40:31,747 - ALEXANDERBAAI - INFO - Date 2010-01-11 05:00:00 Index 245 - Actual: 0.5391304347826087, Predicted: -0.4322686493396759
