,0
0,0.7287234042553177
1,0.7287234042553195
2,0.7322695035460995
3,0.7322695035460995
4,0.7269503546099294
5,0.7251773049645411
6,0.7304964539007095
7,0.7234042553191493
8,0.7287234042553177
9,0.7322695035461013
10,0.8842105263157893
11,0.8842105263157898
12,0.8947368421052633
13,0.8947368421052628
14,0.8736842105263158
15,0.8842105263157898
16,0.926315789473684
17,0.9157894736842103
18,0.9368421052631579
19,0.9263157894736844
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.2990867579908665
31,0.2968036529680367
32,0.294520547945206
33,0.28767123287671215
34,0.28538812785388057
35,0.2602739726027403
36,0.24429223744292283
37,0.22831050228310534
38,0.2374429223744281
39,0.21232876712328785
40,0.7287234042553177
41,0.7322695035461013
42,0.7322695035460995
43,0.7269503546099294
44,0.7251773049645394
45,0.7304964539007113
46,0.7234042553191511
47,0.7287234042553195
48,0.7322695035460995
49,0.7411347517730515
50,0.8842105263157893
51,0.8947368421052633
52,0.8947368421052633
53,0.8736842105263158
54,0.8842105263157893
55,0.9263157894736844
56,0.9157894736842103
57,0.9368421052631577
58,0.9263157894736842
59,0.9263157894736844
60,0.0
61,0.0
62,0.0
63,0.0
64,0.0
65,0.0
66,0.0
67,0.0
68,0.0
69,0.0
70,0.2968036529680358
71,0.294520547945206
72,0.28767123287671215
73,0.28538812785388057
74,0.26027397260273943
75,0.24429223744292283
76,0.22831050228310623
77,0.2374429223744281
78,0.21232876712328697
79,0.19178082191780899
80,0.7322695035460995
81,0.7322695035461013
82,0.7269503546099294
83,0.7251773049645429
84,0.7304964539007077
85,0.7234042553191493
86,0.7287234042553212
87,0.7322695035460995
88,0.7411347517730498
89,0.7482269503546117
90,0.8947368421052633
91,0.8947368421052633
92,0.8736842105263158
93,0.8842105263157896
94,0.9263157894736842
95,0.9157894736842105
96,0.9368421052631581
97,0.926315789473684
98,0.9263157894736842
99,0.9473684210526316
100,0.0
101,0.0
102,0.0
103,0.0
104,0.0
105,0.0
106,0.0
107,0.0
108,0.0
109,0.0
110,0.2945205479452042
111,0.28767123287671215
112,0.28538812785388146
113,0.26027397260273855
114,0.24429223744292194
115,0.22831050228310534
116,0.237442922374429
117,0.21232876712328697
118,0.1917808219178081
119,0.2054794520547949
120,0.7322695035460995
121,0.726950354609933
122,0.7251773049645411
123,0.730496453900713
124,0.7234042553191493
125,0.7287234042553195
126,0.7322695035460995
127,0.7411347517730498
128,0.74822695035461
129,0.7624113475177339
130,0.8947368421052633
131,0.8736842105263158
132,0.8842105263157891
133,0.926315789473684
134,0.9157894736842105
135,0.9368421052631581
136,0.926315789473684
137,0.926315789473684
138,0.9473684210526316
139,0.9473684210526316
140,0.0
141,0.0
142,0.0
143,0.0
144,0.0
145,0.0
146,0.0
147,0.0
148,0.0
149,0.0
150,0.28767123287671215
151,0.28538812785388146
152,0.26027397260273943
153,0.24429223744292283
154,0.22831050228310357
155,0.237442922374429
156,0.21232876712328697
157,0.1917808219178072
158,0.20547945205479312
159,0.18721461187214672
160,0.7269503546099294
161,0.7251773049645411
162,0.7304964539007095
163,0.7234042553191493
164,0.7287234042553177
165,0.7322695035461013
166,0.7411347517730498
167,0.7482269503546135
168,0.7624113475177303
169,0.7712765957446823
170,0.8736842105263158
171,0.8842105263157898
172,0.926315789473684
173,0.9157894736842103
174,0.9368421052631579
175,0.9263157894736844
176,0.926315789473684
177,0.9473684210526319
178,0.9473684210526316
179,0.9473684210526316
180,0.0
181,0.0
182,0.0
183,0.0
184,0.0
185,0.0
186,0.0
187,0.0
188,0.0
189,0.0
190,0.28538812785388057
191,0.2602739726027403
192,0.24429223744292283
193,0.22831050228310534
194,0.2374429223744281
195,0.21232876712328785
196,0.1917808219178072
197,0.2054794520547949
198,0.18721461187214583
199,0.21461187214611854
200,0.7251773049645394
201,0.7304964539007113
202,0.7234042553191511
203,0.7287234042553195
204,0.7322695035460995
205,0.7411347517730515
206,0.74822695035461
207,0.7624113475177303
208,0.7712765957446823
209,0.7677304964539022
210,0.8842105263157893
211,0.9263157894736844
212,0.9157894736842103
213,0.9368421052631577
214,0.9263157894736842
215,0.9263157894736844
216,0.9473684210526314
217,0.9473684210526319
218,0.9473684210526316
219,0.8210526315789475
220,0.0
221,0.0
222,0.0
223,0.0
224,0.0
225,0.0
226,0.0
227,0.0
228,0.0
229,0.0
230,0.26027397260273943
231,0.24429223744292283
232,0.22831050228310623
233,0.2374429223744281
234,0.21232876712328697
235,0.19178082191780899
236,0.2054794520547949
237,0.18721461187214583
238,0.21461187214611854
239,0.294520547945206
240,0.7304964539007077
241,0.7234042553191493
242,0.7287234042553212
243,0.7322695035460995
244,0.7411347517730498
245,0.7482269503546117
246,0.7624113475177339
247,0.7712765957446805
248,0.7677304964539005
249,0.7659574468085122
250,0.9263157894736842
251,0.9157894736842105
252,0.9368421052631581
253,0.926315789473684
254,0.9263157894736842
255,0.9473684210526316
256,0.9473684210526314
257,0.9473684210526319
258,0.8210526315789475
259,0.7473684210526317
260,0.0
261,0.0
262,0.0
263,0.0
264,0.0
265,0.0
266,0.0
267,0.0
268,0.0
269,0.0
270,0.24429223744292194
271,0.22831050228310534
272,0.237442922374429
273,0.21232876712328697
274,0.1917808219178081
275,0.2054794520547949
276,0.18721461187214583
277,0.21461187214611765
278,0.2945205479452042
279,0.3242009132420103
280,0.7234042553191493
281,0.7287234042553195
282,0.7322695035460995
283,0.7411347517730498
284,0.74822695035461
285,0.7624113475177339
286,0.7712765957446823
287,0.7677304964539005
288,0.7659574468085104
289,0.7535460992907836
290,0.9157894736842105
291,0.9368421052631581
292,0.926315789473684
293,0.926315789473684
294,0.9473684210526316
295,0.9473684210526316
296,0.9473684210526314
297,0.8210526315789473
298,0.7473684210526315
299,0.6210526315789475
300,0.0
301,0.0
302,0.0
303,0.0
304,0.0
305,0.0
306,0.0
307,0.0
308,0.0
309,0.0
310,0.22831050228310357
311,0.237442922374429
312,0.21232876712328697
313,0.1917808219178072
314,0.20547945205479312
315,0.18721461187214672
316,0.21461187214611854
317,0.2945205479452051
318,0.3242009132420094
319,0.3538812785388128
320,0.7287234042553177
321,0.7322695035461013
322,0.7411347517730498
323,0.7482269503546135
324,0.7624113475177303
325,0.7712765957446823
326,0.7677304964539005
327,0.765957446808514
328,0.7535460992907819
329,0.7322695035461013
330,0.9368421052631579
331,0.9263157894736844
332,0.926315789473684
333,0.9473684210526319
334,0.9473684210526316
335,0.9473684210526316
336,0.8210526315789473
337,0.7473684210526317
338,0.6210526315789475
339,0.5052631578947371
340,0.0
341,0.0
342,0.0
343,0.0
344,0.0
345,0.0
346,0.0
347,0.0
348,0.0
349,0.0
350,0.2374429223744281
351,0.21232876712328785
352,0.1917808219178072
353,0.2054794520547949
354,0.18721461187214583
355,0.21461187214611854
356,0.294520547945206
357,0.3242009132420085
358,0.3538812785388119
359,0.3972602739726021
360,0.7322695035460995
361,0.7411347517730515
362,0.74822695035461
363,0.7624113475177303
364,0.7712765957446823
365,0.7677304964539022
366,0.7659574468085122
367,0.7535460992907801
368,0.7322695035460995
369,0.712765957446809
370,0.9263157894736842
371,0.9263157894736844
372,0.9473684210526314
373,0.9473684210526319
374,0.9473684210526316
375,0.8210526315789475
376,0.7473684210526312
377,0.6210526315789475
378,0.5052631578947369
379,0.4421052631578948
380,0.0
381,0.0
382,0.0
383,0.0
384,0.0
385,0.0
386,0.0
387,0.0
388,0.0
389,0.0
390,0.21232876712328697
391,0.19178082191780899
392,0.2054794520547949
393,0.18721461187214583
394,0.21461187214611854
395,0.294520547945206
396,0.3242009132420094
397,0.3538812785388128
398,0.3972602739726021
399,0.4109589041095898
400,0.7411347517730498
401,0.7482269503546117
402,0.7624113475177339
403,0.7712765957446805
404,0.7677304964539005
405,0.7659574468085122
406,0.7535460992907836
407,0.7322695035460995
408,0.7127659574468073
409,0.7056737588652506
410,0.9263157894736842
411,0.9473684210526316
412,0.9473684210526314
413,0.9473684210526319
414,0.8210526315789475
415,0.7473684210526317
416,0.6210526315789471
417,0.5052631578947366
418,0.4421052631578948
419,0.3684210526315792
420,0.0
421,0.0
422,0.0
423,0.0
424,0.0
425,0.0
426,0.0
427,0.0
428,0.0
429,0.0
430,0.1917808219178081
431,0.2054794520547949
432,0.18721461187214583
433,0.21461187214611765
434,0.2945205479452042
435,0.3242009132420103
436,0.3538812785388137
437,0.3972602739726021
438,0.410958904109588
439,0.43150684931506866
440,0.74822695035461
441,0.7624113475177339
442,0.7712765957446823
443,0.7677304964539005
444,0.7659574468085104
445,0.7535460992907836
446,0.7322695035460995
447,0.712765957446809
448,0.7056737588652471
449,0.7021276595744688
450,0.9473684210526316
451,0.9473684210526316
452,0.9473684210526314
453,0.8210526315789473
454,0.7473684210526315
455,0.6210526315789475
456,0.5052631578947371
457,0.4421052631578948
458,0.368421052631579
459,0.3789473684210527
460,0.0
461,0.0
462,0.0
463,0.0
464,0.0
465,0.0
466,0.0
467,0.0
468,0.0
469,0.0
470,0.20547945205479312
471,0.18721461187214672
472,0.21461187214611854
473,0.2945205479452051
474,0.3242009132420094
475,0.3538812785388128
476,0.397260273972603
477,0.4109589041095889
478,0.4315068493150678
479,0.41780821917808275
480,0.7624113475177303
481,0.7712765957446823
482,0.7677304964539005
483,0.765957446808514
484,0.7535460992907819
485,0.7322695035461013
486,0.712765957446809
487,0.7056737588652489
488,0.702127659574467
489,0.7198581560283692
490,0.9473684210526316
491,0.9473684210526316
492,0.8210526315789473
493,0.7473684210526317
494,0.6210526315789475
495,0.5052631578947371
496,0.44210526315789433
497,0.3684210526315792
498,0.3789473684210525
499,0.7052631578947368
500,0.0
501,0.0
502,0.0
503,0.0
504,0.0
505,0.0
506,0.0
507,0.0
508,0.0
509,0.0
510,0.18721461187214583
511,0.21461187214611854
512,0.294520547945206
513,0.3242009132420085
514,0.3538812785388119
515,0.3972602739726021
516,0.4109589041095889
517,0.43150684931506866
518,0.41780821917808186
519,0.34246575342465846
520,0.7712765957446823
521,0.7677304964539022
522,0.7659574468085122
523,0.7535460992907801
524,0.7322695035460995
525,0.712765957446809
526,0.7056737588652506
527,0.7021276595744688
528,0.7198581560283674
529,0.718085106382981
530,0.9473684210526316
531,0.8210526315789475
532,0.7473684210526312
533,0.6210526315789475
534,0.5052631578947369
535,0.4421052631578948
536,0.3684210526315792
537,0.3789473684210525
538,0.7052631578947368
539,0.7578947368421054
540,0.0
541,0.0
542,0.0
543,0.0
544,0.0
545,0.0
546,0.0
547,0.0
548,0.0
549,0.0
550,0.21461187214611854
551,0.294520547945206
552,0.3242009132420094
553,0.3538812785388128
554,0.3972602739726021
555,0.4109589041095898
556,0.43150684931506866
557,0.417808219178081
558,0.3424657534246567
559,0.3059360730593603
560,0.7677304964539005
561,0.7659574468085122
562,0.7535460992907836
563,0.7322695035460995
564,0.7127659574468073
565,0.7056737588652506
566,0.702127659574467
567,0.7198581560283692
568,0.7180851063829792
569,0.726950354609933
570,0.8210526315789475
571,0.7473684210526317
572,0.6210526315789471
573,0.5052631578947366
574,0.4421052631578948
575,0.3684210526315792
576,0.3789473684210525
577,0.7052631578947368
578,0.7578947368421054
579,0.8105263157894738
580,0.0
581,0.0
582,0.0
583,0.0
584,0.0
585,0.0
586,0.0
587,0.0
588,0.0
589,0.0
590,0.2945205479452042
591,0.3242009132420103
592,0.3538812785388137
593,0.3972602739726021
594,0.410958904109588
595,0.43150684931506866
596,0.41780821917808186
597,0.34246575342465757
598,0.3059360730593603
599,0.2648401826484017
600,0.7659574468085104
601,0.7535460992907836
602,0.7322695035460995
603,0.712765957446809
604,0.7056737588652471
605,0.7021276595744688
606,0.7198581560283674
607,0.7180851063829792
608,0.7269503546099294
609,0.7340425531914914
610,0.7473684210526315
611,0.6210526315789475
612,0.5052631578947371
613,0.4421052631578948
614,0.368421052631579
615,0.3789473684210527
616,0.7052631578947368
617,0.7578947368421054
618,0.8105263157894735
619,0.8421052631578949
620,0.0
621,0.0
622,0.0
623,0.0
624,0.0
625,0.0
626,0.0
627,0.0
628,0.0
629,0.0
630,0.3242009132420094
631,0.3538812785388128
632,0.397260273972603
633,0.4109589041095889
634,0.4315068493150678
635,0.41780821917808275
636,0.34246575342465846
637,0.3059360730593603
638,0.2648401826484008
639,0.2488584474885842
640,0.7535460992907819
641,0.7322695035461013
642,0.712765957446809
643,0.7056737588652489
644,0.702127659574467
645,0.7198581560283692
646,0.7180851063829792
647,0.7269503546099294
648,0.7340425531914896
649,0.7411347517730515
650,0.6210526315789475
651,0.5052631578947371
652,0.44210526315789433
653,0.3684210526315792
654,0.3789473684210525
655,0.7052631578947368
656,0.7578947368421054
657,0.8105263157894735
658,0.8421052631578947
659,0.8631578947368421
660,0.0
661,0.0
662,0.0
663,0.0
664,0.0
665,0.0
666,0.0
667,0.0
668,0.0
669,0.0
670,0.3538812785388119
671,0.3972602739726021
