Actual,Predicted
0.52,1.822885
0.4599999999999999,1.5317847
0.39,-0.98453844
0.275,1.9169388
0.2949999999999999,1.3724021
0.2549999999999999,-0.35657677
0.5900000000000001,1.89524
0.55,1.175476
0.595,-0.59900653
0.4599999999999999,1.8348675
0.39,1.6127912
0.2299999999999998,-0.9771384
0.2299999999999998,1.9514416
0.135,1.6430422
0.0999999999999999,-1.0251073
0.0349999999999999,1.9536657
0.005,1.603295
0.0,-0.17584215
0.0999999999999999,2.0761926
0.0749999999999999,1.550538
0.0449999999999999,-0.6286081
-0.02,2.0122705
-0.02,1.3977903
-0.0050000000000001,-0.008098466
0.2099999999999999,1.8983682
0.1949999999999999,1.1646203
0.1699999999999999,-0.32811055
0.1449999999999999,1.847365
0.0949999999999999,1.2351499
0.05,-0.26302084
0.0949999999999999,1.8334157
0.05,1.2006558
0.0749999999999999,-0.09585892
0.39,1.9072938
0.2299999999999998,1.6522747
0.135,-0.91113365
0.135,2.1872883
0.0999999999999999,1.6216736
0.0749999999999999,-0.7157558
0.55,1.72753
0.595,1.2981277
0.52,-0.88651025
0.7150000000000001,2.0786152
0.7750000000000001,1.0892621
0.7449999999999999,-0.41925606
0.265,2.3043954
0.3,1.1300206
0.275,-0.34259304
0.615,1.7092485
0.6699999999999999,0.820366
0.7150000000000001,-0.20404945
0.0799999999999999,1.8727856
0.13,1.1934949
0.29,-0.11703287
0.0399999999999999,1.8776426
0.005,1.3545603
0.0849999999999999,-0.17712532
0.595,1.9009917
0.52,1.3783063
0.4599999999999999,-0.9928163
0.4449999999999998,1.8296559
0.4750000000000001,1.1052521
0.5799999999999998,-0.15226065
0.005,1.9959385
0.0849999999999999,1.2370831
0.0799999999999999,-0.043156963
-0.02,2.0134249
-0.0050000000000001,1.3792859
0.0849999999999999,0.07373299
0.29,1.7729278
0.4,1.2769204
0.4449999999999998,0.09414877
-0.0050000000000001,1.9568185
0.0849999999999999,1.317223
0.4049999999999999,0.04962315
0.1949999999999999,1.9785441
0.1699999999999999,1.2602826
0.1449999999999999,-0.14841686
0.0749999999999999,1.8959503
0.0949999999999999,1.2978648
0.0399999999999999,-0.09683882
0.595,1.8976364
0.5900000000000001,1.075816
0.55,-0.54041374
0.2949999999999999,1.964587
0.2549999999999999,1.382262
0.2099999999999999,-0.11840139
0.0849999999999999,1.9404894
0.0799999999999999,1.1800662
0.13,0.077704564
0.0749999999999999,2.0493734
0.0449999999999999,1.7138568
0.0349999999999999,-0.42908844
0.0949999999999999,1.8880317
0.0399999999999999,1.2959191
0.005,-0.03343759
0.005,2.005519
0.0,1.5697848
-0.02,-0.20927559
0.235,1.9276936
0.265,1.246569
0.3,-0.5052713
0.05,1.9230974
0.0749999999999999,1.296199
0.0949999999999999,-0.12659012
0.0849999999999999,2.003125
0.4049999999999999,1.278092
0.5299999999999998,0.0479299
0.5799999999999998,1.8087234
0.595,1.0411438
0.5900000000000001,-0.37310728
0.2549999999999999,2.0059295
0.2099999999999999,1.2061468
0.1949999999999999,-0.1877111
0.4750000000000001,1.4574918
0.5799999999999998,0.8164056
0.595,-0.43037447
0.0449999999999999,1.8767735
0.0349999999999999,1.7164975
0.005,-0.37737498
0.4,1.7880813
0.4449999999999998,1.0827969
0.4750000000000001,-0.15168796
0.13,1.7457879
0.29,1.2561111
0.4,-0.11744486
0.1699999999999999,1.9666836
0.1449999999999999,1.2632456
0.0949999999999999,-0.2701324
0.0,2.1170757
-0.02,1.4966854
-0.02,-0.029141767
0.5299999999999998,1.9381475
0.615,1.099029
0.6699999999999999,-0.12244783
0.3,2.1890755
0.275,0.9865605
0.2949999999999999,-0.16676365
0.2249999999999999,1.8306506
0.235,0.99726063
0.265,-0.643474
0.6699999999999999,2.0021193
0.7150000000000001,0.9706082
0.7750000000000001,-0.29136834
0.4049999999999999,2.030428
0.5299999999999998,1.2610135
0.615,0.09302105
