2023-08-12 23:24:21,883 - ADDO ELEPHANT PARK - INFO - TCN model training started at ADDO ELEPHANT PARK
2023-08-12 23:24:22,067 - ADDO ELEPHANT PARK - INFO - TCN Model on split 1/3 at ADDO ELEPHANT PARK station forecasting 24 hours ahead.
2023-08-12 23:24:28,292 - ADDO ELEPHANT PARK - INFO - Loss: [18.015220642089844]
2023-08-12 23:24:28,292 - ADDO ELEPHANT PARK - INFO - Val Loss: [10.754518508911133]
2023-08-12 23:24:29,841 - ADDO ELEPHANT PARK - INFO - Saving the actual vs predicted comparison to a CSV file - file path DataNew/Weather Station Data/ADDO ELEPHANT PARK.csv
2023-08-12 23:24:33,218 - ADDO ELEPHANT PARK - INFO - Date 2010-01-02 04:00:00 Index 28 - Actual: 0.10434782608695659, Predicted: 3.360527753829956
2023-08-12 23:24:33,336 - ADDO ELEPHANT PARK - INFO - Date 2010-01-02 05:00:00 Index 29 - Actual: 0.07391304347826078, Predicted: 2.0844357013702393
2023-08-12 23:24:33,445 - ADDO ELEPHANT PARK - INFO - Date 2010-01-02 06:00:00 Index 30 - Actual: 0.047826086956521796, Predicted: -2.427461624145508
2023-08-12 23:24:33,561 - ADDO ELEPHANT PARK - INFO - Date 2010-01-02 07:00:00 Index 31 - Actual: 0.05652173913043479, Predicted: -2.745035409927368
2023-08-12 23:24:33,678 - ADDO ELEPHANT PARK - INFO - Date 2010-01-02 08:00:00 Index 32 - Actual: 0.04347826086956519, Predicted: -2.655501127243042
2023-08-12 23:24:33,789 - ADDO ELEPHANT PARK - INFO - Date 2010-01-02 09:00:00 Index 33 - Actual: 0.07391304347826078, Predicted: -0.762275218963623
2023-08-12 23:24:33,906 - ADDO ELEPHANT PARK - INFO - Date 2010-01-02 10:00:00 Index 34 - Actual: 0.20000000000000007, Predicted: 6.169827461242676
2023-08-12 23:24:34,014 - ADDO ELEPHANT PARK - INFO - Date 2010-01-02 11:00:00 Index 35 - Actual: 0.3999999999999998, Predicted: -2.2260942459106445
2023-08-12 23:24:34,130 - ADDO ELEPHANT PARK - INFO - Date 2010-01-02 12:00:00 Index 36 - Actual: 0.4521739130434782, Predicted: 2.0512807369232178
2023-08-12 23:24:34,246 - ADDO ELEPHANT PARK - INFO - Date 2010-01-02 13:00:00 Index 37 - Actual: 0.5782608695652173, Predicted: -2.1108429431915283
2023-08-12 23:24:34,358 - ADDO ELEPHANT PARK - INFO - Date 2010-01-02 14:00:00 Index 38 - Actual: 0.6347826086956522, Predicted: -1.132187008857727
2023-08-12 23:24:34,475 - ADDO ELEPHANT PARK - INFO - Date 2010-01-02 15:00:00 Index 39 - Actual: 0.6999999999999998, Predicted: 0.7302940487861633
2023-08-12 23:24:34,584 - ADDO ELEPHANT PARK - INFO - Date 2010-01-02 16:00:00 Index 40 - Actual: 0.782608695652174, Predicted: 4.381666660308838
2023-08-12 23:24:34,710 - ADDO ELEPHANT PARK - INFO - Date 2010-01-02 17:00:00 Index 41 - Actual: 0.7130434782608696, Predicted: 4.307013511657715
2023-08-12 23:24:34,825 - ADDO ELEPHANT PARK - INFO - Date 2010-01-02 18:00:00 Index 42 - Actual: 0.6782608695652174, Predicted: 4.241459846496582
2023-08-12 23:24:34,950 - ADDO ELEPHANT PARK - INFO - Date 2010-01-02 19:00:00 Index 43 - Actual: 0.6565217391304347, Predicted: 3.8891868591308594
2023-08-12 23:24:35,064 - ADDO ELEPHANT PARK - INFO - Date 2010-01-02 20:00:00 Index 44 - Actual: 0.5173913043478261, Predicted: 0.504270613193512
2023-08-12 23:24:35,181 - ADDO ELEPHANT PARK - INFO - Date 2010-01-02 21:00:00 Index 45 - Actual: 0.3956521739130435, Predicted: -5.414871692657471
2023-08-12 23:24:35,297 - ADDO ELEPHANT PARK - INFO - Date 2010-01-02 22:00:00 Index 46 - Actual: 0.35217391304347834, Predicted: -3.600146770477295
2023-08-12 23:24:35,407 - ADDO ELEPHANT PARK - INFO - Date 2010-01-02 23:00:00 Index 47 - Actual: 0.31739130434782603, Predicted: -1.0144538879394531
2023-08-12 23:24:35,517 - ADDO ELEPHANT PARK - INFO - Date 2010-01-03 00:00:00 Index 48 - Actual: 0.30869565217391304, Predicted: 0.7615106701850891
2023-08-12 23:24:35,634 - ADDO ELEPHANT PARK - INFO - Date 2010-01-03 01:00:00 Index 49 - Actual: 0.29565217391304344, Predicted: 6.6537370681762695
2023-08-12 23:24:35,750 - ADDO ELEPHANT PARK - INFO - Date 2010-01-03 02:00:00 Index 50 - Actual: 0.28695652173913044, Predicted: 2.095313549041748
2023-08-12 23:24:35,867 - ADDO ELEPHANT PARK - INFO - Date 2010-01-03 03:00:00 Index 51 - Actual: 0.29565217391304344, Predicted: 2.1803810596466064
2023-08-12 23:24:35,984 - ADDO ELEPHANT PARK - INFO - Date 2010-01-03 04:00:00 Index 52 - Actual: 0.29130434782608683, Predicted: 4.215992450714111
2023-08-12 23:24:36,096 - ADDO ELEPHANT PARK - INFO - Date 2010-01-03 05:00:00 Index 53 - Actual: 0.26956521739130423, Predicted: 2.1924655437469482
2023-08-12 23:24:36,206 - ADDO ELEPHANT PARK - INFO - Date 2010-01-03 06:00:00 Index 54 - Actual: 0.26086956521739124, Predicted: -2.066511631011963
2023-08-12 23:24:36,317 - ADDO ELEPHANT PARK - INFO - Date 2010-01-03 07:00:00 Index 55 - Actual: 0.24782608695652164, Predicted: -2.320765495300293
2023-08-12 23:24:36,432 - ADDO ELEPHANT PARK - INFO - Date 2010-01-03 08:00:00 Index 56 - Actual: 0.23043478260869565, Predicted: -2.8547136783599854
2023-08-12 23:24:36,550 - ADDO ELEPHANT PARK - INFO - Date 2010-01-03 09:00:00 Index 57 - Actual: 0.21739130434782605, Predicted: -1.3430900573730469
2023-08-12 23:24:36,665 - ADDO ELEPHANT PARK - INFO - Date 2010-01-03 10:00:00 Index 58 - Actual: 0.19130434782608696, Predicted: 5.770822048187256
2023-08-12 23:24:36,783 - ADDO ELEPHANT PARK - INFO - Date 2010-01-03 11:00:00 Index 59 - Actual: 0.19565217391304346, Predicted: -2.0975182056427
2023-08-12 23:24:36,899 - ADDO ELEPHANT PARK - INFO - Date 2010-01-03 12:00:00 Index 60 - Actual: 0.20000000000000007, Predicted: 2.554626703262329
2023-08-12 23:24:37,006 - ADDO ELEPHANT PARK - INFO - Date 2010-01-03 13:00:00 Index 61 - Actual: 0.23478260869565226, Predicted: -2.2523462772369385
2023-08-12 23:24:37,122 - ADDO ELEPHANT PARK - INFO - Date 2010-01-03 14:00:00 Index 62 - Actual: 0.22608695652173905, Predicted: -1.275572419166565
