2023-08-04 21:37:37,150 - ALIWAL-NORTH PLAATKOP - INFO - TCN model training started at ALIWAL-NORTH PLAATKOP
2023-08-04 21:37:37,406 - ALIWAL-NORTH PLAATKOP - INFO - tcnTrain :TCN Model on split 1/47 at ALIWAL-NORTH PLAATKOP station forecasting 3 hours ahead.
2023-08-04 21:37:52,167 - ALIWAL-NORTH PLAATKOP - INFO - tcnTrain : TCN training done on split 1/47 at ALIWAL-NORTH PLAATKOP station forecasting 3 hours ahead.
2023-08-04 21:37:52,169 - ALIWAL-NORTH PLAATKOP - INFO - tcnTrain : TCN training finished at ALIWAL-NORTH PLAATKOP
2023-08-04 21:56:10,680 - ALIWAL-NORTH PLAATKOP - INFO - TCN model training started at ALIWAL-NORTH PLAATKOP
2023-08-04 21:56:10,976 - ALIWAL-NORTH PLAATKOP - INFO - tcnTrain :TCN Model on split 1/1 at ALIWAL-NORTH PLAATKOP station forecasting 3 hours ahead.
2023-08-04 21:56:23,898 - ALIWAL-NORTH PLAATKOP - INFO - tcnTrain : TCN training done on split 1/47 at ALIWAL-NORTH PLAATKOP station forecasting 3 hours ahead.
2023-08-04 21:56:23,900 - ALIWAL-NORTH PLAATKOP - INFO - tcnTrain : TCN training finished at ALIWAL-NORTH PLAATKOP
2023-08-04 22:08:52,851 - ALIWAL-NORTH PLAATKOP - INFO - TCN model training started at ALIWAL-NORTH PLAATKOP
2023-08-04 22:08:53,073 - ALIWAL-NORTH PLAATKOP - INFO - tcnTrain :TCN Model on split 1/1 at ALIWAL-NORTH PLAATKOP station forecasting 3 hours ahead.
2023-08-04 22:09:04,610 - ALIWAL-NORTH PLAATKOP - INFO - tcnTrain : TCN training done on split 1/1 at ALIWAL-NORTH PLAATKOP station forecasting 3 hours ahead.
2023-08-04 22:09:04,613 - ALIWAL-NORTH PLAATKOP - INFO - tcnTrain : TCN training finished at ALIWAL-NORTH PLAATKOP
2023-08-04 22:19:42,986 - ALIWAL-NORTH PLAATKOP - INFO - TCN model training started at ALIWAL-NORTH PLAATKOP
2023-08-04 22:19:43,180 - ALIWAL-NORTH PLAATKOP - INFO - tcnTrain :TCN Model on split 1/1 at ALIWAL-NORTH PLAATKOP station forecasting 3 hours ahead.
2023-08-04 22:19:53,154 - ALIWAL-NORTH PLAATKOP - INFO - tcnTrain : TCN training done on split 1/1 at ALIWAL-NORTH PLAATKOP station forecasting 3 hours ahead.
2023-08-04 22:19:53,158 - ALIWAL-NORTH PLAATKOP - INFO - tcnTrain : TCN training finished at ALIWAL-NORTH PLAATKOP
2023-08-04 22:40:59,345 - ALIWAL-NORTH PLAATKOP - INFO - TCN model training started at ALIWAL-NORTH PLAATKOP
2023-08-04 22:40:59,557 - ALIWAL-NORTH PLAATKOP - INFO - tcnTrain :TCN Model on split 1/1 at ALIWAL-NORTH PLAATKOP station forecasting 3 hours ahead.
2023-08-04 22:44:47,881 - ALIWAL-NORTH PLAATKOP - INFO - TCN model training started at ALIWAL-NORTH PLAATKOP
2023-08-04 22:44:48,076 - ALIWAL-NORTH PLAATKOP - INFO - tcnTrain :TCN Model on split 1/1 at ALIWAL-NORTH PLAATKOP station forecasting 3 hours ahead.
2023-08-04 22:45:01,105 - ALIWAL-NORTH PLAATKOP - INFO - Saving the actual vs predicted comparison to a CSV file.
2023-08-04 22:45:04,532 - ALIWAL-NORTH PLAATKOP - INFO - Date 2010-01-01 18:00:00 Index 18 - Actual: 0.4601769911504425, Predicted: 3.0160093307495117
2023-08-04 22:45:04,682 - ALIWAL-NORTH PLAATKOP - INFO - Date 2010-01-01 19:00:00 Index 19 - Actual: 0.46902654867256643, Predicted: -1.0936576128005981
2023-08-04 22:45:04,821 - ALIWAL-NORTH PLAATKOP - INFO - Date 2010-01-01 20:00:00 Index 20 - Actual: 0.4601769911504425, Predicted: -0.5472071170806885
2023-08-04 22:45:04,971 - ALIWAL-NORTH PLAATKOP - INFO - Date 2010-01-01 21:00:00 Index 21 - Actual: 0.8008849557522124, Predicted: 3.0064496994018555
2023-08-04 22:45:05,117 - ALIWAL-NORTH PLAATKOP - INFO - Date 2010-01-01 22:00:00 Index 22 - Actual: 0.8141592920353984, Predicted: -1.3734400272369385
2023-08-04 22:45:05,261 - ALIWAL-NORTH PLAATKOP - INFO - Date 2010-01-01 23:00:00 Index 23 - Actual: 0.747787610619469, Predicted: -0.7218406796455383
2023-08-04 22:45:05,397 - ALIWAL-NORTH PLAATKOP - INFO - Date 2010-01-02 00:00:00 Index 24 - Actual: 0.8053097345132745, Predicted: 3.1278045177459717
2023-08-04 22:45:05,535 - ALIWAL-NORTH PLAATKOP - INFO - Date 2010-01-02 01:00:00 Index 25 - Actual: 0.8230088495575221, Predicted: -1.235360026359558
2023-08-04 22:45:05,676 - ALIWAL-NORTH PLAATKOP - INFO - Date 2010-01-02 02:00:00 Index 26 - Actual: 0.836283185840708, Predicted: -0.6128065586090088
2023-08-04 22:45:05,820 - ALIWAL-NORTH PLAATKOP - INFO - Date 2010-01-02 03:00:00 Index 27 - Actual: 0.16371681415929218, Predicted: 2.8435606956481934
2023-08-04 22:45:05,959 - ALIWAL-NORTH PLAATKOP - INFO - Date 2010-01-02 04:00:00 Index 28 - Actual: 0.15929203539823011, Predicted: -0.5646475553512573
2023-08-04 22:45:06,102 - ALIWAL-NORTH PLAATKOP - INFO - Date 2010-01-02 05:00:00 Index 29 - Actual: 0.18141592920353988, Predicted: 0.26078251004219055
2023-08-04 22:45:06,270 - ALIWAL-NORTH PLAATKOP - INFO - Date 2010-01-02 06:00:00 Index 30 - Actual: 0.16814159292035402, Predicted: 2.8013856410980225
2023-08-04 22:45:06,426 - ALIWAL-NORTH PLAATKOP - INFO - Date 2010-01-02 07:00:00 Index 31 - Actual: 0.14601769911504425, Predicted: -1.2021117210388184
2023-08-04 22:45:06,583 - ALIWAL-NORTH PLAATKOP - INFO - Date 2010-01-02 08:00:00 Index 32 - Actual: 0.10176991150442483, Predicted: 0.06393742561340332
2023-08-04 22:45:06,733 - ALIWAL-NORTH PLAATKOP - INFO - Date 2010-01-02 09:00:00 Index 33 - Actual: 0.6504424778761062, Predicted: 2.8007748126983643
2023-08-04 22:45:06,876 - ALIWAL-NORTH PLAATKOP - INFO - Date 2010-01-02 10:00:00 Index 34 - Actual: 0.6592920353982301, Predicted: -1.1240655183792114
2023-08-04 22:45:07,048 - ALIWAL-NORTH PLAATKOP - INFO - Date 2010-01-02 11:00:00 Index 35 - Actual: 0.7079646017699115, Predicted: -0.5227863788604736
2023-08-04 22:45:07,216 - ALIWAL-NORTH PLAATKOP - INFO - Date 2010-01-02 12:00:00 Index 36 - Actual: 0.2654867256637168, Predicted: 3.1545331478118896
2023-08-04 22:45:07,368 - ALIWAL-NORTH PLAATKOP - INFO - Date 2010-01-02 13:00:00 Index 37 - Actual: 0.24778761061946908, Predicted: -1.3233048915863037
2023-08-04 22:45:07,547 - ALIWAL-NORTH PLAATKOP - INFO - Date 2010-01-02 14:00:00 Index 38 - Actual: 0.2256637168141593, Predicted: -0.36109811067581177
2023-08-04 22:45:07,745 - ALIWAL-NORTH PLAATKOP - INFO - Date 2010-01-02 15:00:00 Index 39 - Actual: 0.7566371681415929, Predicted: 3.0652291774749756
2023-08-04 22:45:07,960 - ALIWAL-NORTH PLAATKOP - INFO - Date 2010-01-02 16:00:00 Index 40 - Actual: 0.6814159292035398, Predicted: -1.353818655014038
