2023-08-13 00:15:36,071 - PORT ALFRED - AIRPORT - INFO - TCN model training started at PORT ALFRED - AIRPORT
2023-08-13 00:15:36,243 - PORT ALFRED - AIRPORT - INFO - TCN Model on split 1/1 at PORT ALFRED - AIRPORT station forecasting 3 hours ahead.
2023-08-13 00:15:54,291 - PORT ALFRED - AIRPORT - INFO - Date 2010-01-02 04:00:00 Index 28 - Actual: 0.3272727272727274, Predicted: -4.4533772468566895
2023-08-13 00:15:54,406 - PORT ALFRED - AIRPORT - INFO - Date 2010-01-02 05:00:00 Index 29 - Actual: 0.303030303030303, Predicted: -11.418905258178711
2023-08-13 00:15:54,521 - PORT ALFRED - AIRPORT - INFO - Date 2010-01-02 06:00:00 Index 30 - Actual: 0.3272727272727274, Predicted: -5.04244327545166
2023-08-13 00:15:54,646 - PORT ALFRED - AIRPORT - INFO - Date 2010-01-02 07:00:00 Index 31 - Actual: 0.303030303030303, Predicted: -4.467648029327393
2023-08-13 00:15:54,762 - PORT ALFRED - AIRPORT - INFO - Date 2010-01-02 08:00:00 Index 32 - Actual: 0.290909090909091, Predicted: -11.422060012817383
2023-08-13 00:15:54,877 - PORT ALFRED - AIRPORT - INFO - Date 2010-01-02 09:00:00 Index 33 - Actual: 0.4303030303030304, Predicted: -5.031802654266357
2023-08-13 00:15:55,017 - PORT ALFRED - AIRPORT - INFO - Date 2010-01-02 10:00:00 Index 34 - Actual: 0.40606060606060623, Predicted: -4.471282482147217
2023-08-13 00:15:55,141 - PORT ALFRED - AIRPORT - INFO - Date 2010-01-02 11:00:00 Index 35 - Actual: 0.36363636363636354, Predicted: -11.42203140258789
2023-08-13 00:15:55,375 - PORT ALFRED - AIRPORT - INFO - Date 2010-01-02 12:00:00 Index 36 - Actual: 0.36363636363636354, Predicted: -5.030307292938232
2023-08-13 00:15:55,487 - PORT ALFRED - AIRPORT - INFO - Date 2010-01-02 13:00:00 Index 37 - Actual: 0.33333333333333326, Predicted: -4.462516784667969
2023-08-13 00:15:55,599 - PORT ALFRED - AIRPORT - INFO - Date 2010-01-02 14:00:00 Index 38 - Actual: 0.3212121212121213, Predicted: -11.428013801574707
