2023-08-05 12:00:08,155 - all_stations - INFO - Training GWN models through walk-forward validation on a forecasting horizon of: 24
2023-08-05 12:02:01,917 - all_stations - INFO - Date 2010-01-01 00:00:00 Index 36 - Actual: 0.32930514216423035, Predicted: 0.22419293224811554
2023-08-05 12:02:04,347 - all_stations - INFO - Date 2010-01-01 00:00:00 Index 37 - Actual: 0.35347431898117065, Predicted: 0.18728424608707428
2023-08-05 12:02:06,823 - all_stations - INFO - Date 2010-01-01 00:00:00 Index 38 - Actual: 0.3806646466255188, Predicted: 0.14225590229034424
2023-08-05 12:02:09,195 - all_stations - INFO - Date 2010-01-01 00:00:00 Index 39 - Actual: 0.4199395775794983, Predicted: 0.18065546452999115
2023-08-05 12:02:11,646 - all_stations - INFO - Date 2010-01-01 00:00:00 Index 40 - Actual: 0.4441087543964386, Predicted: 0.05188444256782532
2023-08-05 12:02:14,115 - all_stations - INFO - Date 2010-01-01 00:00:00 Index 41 - Actual: 0.4501510560512543, Predicted: 0.1763043850660324
2023-08-05 12:02:16,589 - all_stations - INFO - Date 2010-01-01 00:00:00 Index 42 - Actual: 0.42296072840690613, Predicted: 0.21746055781841278
2023-08-05 12:02:19,090 - all_stations - INFO - Date 2010-01-01 00:00:00 Index 43 - Actual: 0.41691842675209045, Predicted: 0.1108982115983963
2023-08-05 12:02:21,559 - all_stations - INFO - Date 2010-01-01 00:00:00 Index 44 - Actual: 0.3987915515899658, Predicted: 0.0689837709069252
2023-08-05 12:02:24,096 - all_stations - INFO - Date 2010-01-01 01:00:00 Index 45 - Actual: 0.3897280991077423, Predicted: 0.22505496442317963
2023-08-05 12:02:26,545 - all_stations - INFO - Date 2010-01-01 01:00:00 Index 46 - Actual: 0.3806646466255188, Predicted: 0.1226620078086853
2023-08-05 12:02:29,041 - all_stations - INFO - Date 2010-01-01 01:00:00 Index 47 - Actual: 0.35347431898117065, Predicted: 0.10613975673913956
2023-08-05 12:02:31,481 - all_stations - INFO - Date 2010-01-01 01:00:00 Index 48 - Actual: 0.46525681018829346, Predicted: 0.13715961575508118
2023-08-05 12:02:33,912 - all_stations - INFO - Date 2010-01-01 01:00:00 Index 49 - Actual: 0.3262839913368225, Predicted: 0.11184213310480118
2023-08-05 12:02:36,331 - all_stations - INFO - Date 2010-01-01 01:00:00 Index 50 - Actual: 0.31419938802719116, Predicted: 0.10727691650390625
2023-08-05 12:02:38,813 - all_stations - INFO - Date 2010-01-01 01:00:00 Index 51 - Actual: 0.32024168968200684, Predicted: 0.19234129786491394
2023-08-05 12:02:41,324 - all_stations - INFO - Date 2010-01-01 01:00:00 Index 52 - Actual: 0.29909366369247437, Predicted: 0.10465376079082489
2023-08-05 12:02:43,701 - all_stations - INFO - Date 2010-01-01 01:00:00 Index 53 - Actual: 0.2839879095554352, Predicted: 0.08651544153690338
2023-08-05 12:02:46,150 - all_stations - INFO - Date 2010-01-01 01:00:00 Index 54 - Actual: 0.31419938802719116, Predicted: 0.17521339654922485
2023-08-05 12:02:48,596 - all_stations - INFO - Date 2010-01-01 01:00:00 Index 55 - Actual: 0.317220538854599, Predicted: 0.21850863099098206
2023-08-05 12:02:50,969 - all_stations - INFO - Date 2010-01-01 01:00:00 Index 56 - Actual: 0.3413897156715393, Predicted: 0.06369518488645554
2023-08-05 12:02:53,442 - all_stations - INFO - Date 2010-01-01 01:00:00 Index 57 - Actual: 0.30513596534729004, Predicted: 0.17860004305839539
2023-08-05 12:02:55,983 - all_stations - INFO - Date 2010-01-01 01:00:00 Index 58 - Actual: 0.3081570863723755, Predicted: 0.13099288940429688
2023-08-05 12:02:58,387 - all_stations - INFO - Date 2010-01-01 01:00:00 Index 59 - Actual: 0.37764349579811096, Predicted: 0.09480320662260056
2023-08-05 12:03:00,958 - all_stations - INFO - Date 2010-01-01 01:00:00 Index 60 - Actual: 0.3987915515899658, Predicted: 0.1856505274772644
2023-08-05 12:03:03,876 - all_stations - INFO - Date 2010-01-01 01:00:00 Index 61 - Actual: 0.4501510560512543, Predicted: 0.19519828259944916
2023-08-05 12:03:06,412 - all_stations - INFO - Date 2010-01-01 01:00:00 Index 62 - Actual: 0.4743202328681946, Predicted: 0.11755295097827911
2023-08-05 12:03:09,020 - all_stations - INFO - Date 2010-01-01 01:00:00 Index 63 - Actual: 0.5468277931213379, Predicted: 0.16526924073696136
2023-08-05 12:03:11,596 - all_stations - INFO - Date 2010-01-01 01:00:00 Index 64 - Actual: 0.5498489141464233, Predicted: 0.07064919173717499
2023-08-05 12:03:13,876 - all_stations - INFO - Date 2010-01-01 01:00:00 Index 65 - Actual: 0.5438066720962524, Predicted: 0.1434554159641266
2023-08-05 12:03:16,286 - all_stations - INFO - Date 2010-01-01 01:00:00 Index 66 - Actual: 0.4924471378326416, Predicted: 0.17790158092975616
2023-08-05 12:03:18,827 - all_stations - INFO - Date 2010-01-01 01:00:00 Index 67 - Actual: 0.4350453317165375, Predicted: 0.09422768652439117
2023-08-05 12:03:21,223 - all_stations - INFO - Date 2010-01-01 01:00:00 Index 68 - Actual: 0.24471299350261688, Predicted: 0.06874428689479828
2023-08-05 12:03:23,668 - all_stations - INFO - Date 2010-01-01 01:00:00 Index 69 - Actual: 0.2688821852207184, Predicted: 0.213857501745224
2023-08-05 12:03:26,007 - all_stations - INFO - Date 2010-01-01 01:00:00 Index 70 - Actual: 0.2779456079006195, Predicted: 0.11971823871135712
2023-08-05 12:03:28,312 - all_stations - INFO - Date 2010-01-01 01:00:00 Index 71 - Actual: 0.2386706918478012, Predicted: 0.09525842219591141
2023-08-05 12:03:30,618 - all_stations - INFO - Date 2010-01-01 01:00:00 Index 72 - Actual: 0.24471299350261688, Predicted: 0.11232677102088928
2023-08-05 12:03:32,921 - all_stations - INFO - Date 2010-01-01 01:00:00 Index 73 - Actual: 0.2628398835659027, Predicted: 0.11542073637247086
2023-08-05 12:03:35,204 - all_stations - INFO - Date 2010-01-01 01:00:00 Index 74 - Actual: 0.22054380178451538, Predicted: 0.09651656448841095
2023-08-05 12:03:37,482 - all_stations - INFO - Date 2010-01-01 01:00:00 Index 75 - Actual: 0.23262840509414673, Predicted: 0.18535836040973663
2023-08-05 12:03:39,794 - all_stations - INFO - Date 2010-01-01 01:00:00 Index 76 - Actual: 0.20241691172122955, Predicted: 0.0845165103673935
2023-08-05 12:03:42,077 - all_stations - INFO - Date 2010-01-01 01:00:00 Index 77 - Actual: 0.1752265840768814, Predicted: 0.08019952476024628
2023-08-05 12:03:44,391 - all_stations - INFO - Date 2010-01-01 01:00:00 Index 78 - Actual: 0.20845921337604523, Predicted: 0.14272111654281616
2023-08-05 12:03:46,671 - all_stations - INFO - Date 2010-01-01 01:00:00 Index 79 - Actual: 0.18429003655910492, Predicted: 0.22316919267177582
2023-08-05 12:03:48,937 - all_stations - INFO - Date 2010-01-01 01:00:00 Index 80 - Actual: 0.18731117248535156, Predicted: 0.038618121296167374
