,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44
0,0.029156946,0.021293074,0.022122527,0.023463609,0.020464778,0.020350661,0.020350661,0.022198064,0.023373282,0.025243592,0.020350661,0.025328688,0.021647941,0.020350661,0.023141978,0.025199085,0.020350661,0.022536332,0.020350661,0.02368084,0.020350661,0.021169482,0.020350661,0.02139803,0.020350661,0.024159571,0.020761361,0.023085482,0.024362352,0.020350661,0.02055516,0.020350661,0.02143031,0.023179641,0.022728445,0.027085073,0.021479357,0.022758128,0.02639987,0.020350661,0.020712044,0.020780597,0.02190528,0.02083818,0.022152947
1,0.021650294,0.030062988,0.021588095,0.021581152,0.023591163,0.020692071,0.020692071,0.02250572,0.021423839,0.022191664,0.020692071,0.022092262,0.020692071,0.020692071,0.020692071,0.021954335,0.021357283,0.028770182,0.020692071,0.023126679,0.022933649,0.022749927,0.020692071,0.022401199,0.020692071,0.020692071,0.023340965,0.020692071,0.021333642,0.02276274,0.026445465,0.020692071,0.02171744,0.02517741,0.021977771,0.022340037,0.02612729,0.020692071,0.020692071,0.02244273,0.022519631,0.020692071,0.021478051,0.020692071,0.02128327
2,0.022430267,0.021527253,0.028079066,0.025551435,0.024255442,0.020633755,0.02179643,0.025187705,0.02308705,0.02197589,0.020633755,0.022617923,0.020633755,0.020633755,0.020633755,0.024598787,0.020633755,0.020897297,0.020633755,0.02210642,0.020633755,0.021745915,0.020633755,0.025843943,0.021313703,0.021638613,0.023400785,0.023012776,0.020633755,0.020633755,0.022883497,0.0220576,0.024193492,0.023056997,0.020633755,0.022885062,0.020633755,0.020633755,0.0221925,0.025108192,0.025148429,0.020633755,0.020633755,0.020633755,0.020633755
3,0.02386148,0.021584988,0.0256282,0.029427197,0.023227204,0.020695746,0.022221224,0.026045725,0.023679761,0.023890732,0.020695746,0.021762243,0.020695746,0.020695746,0.020695746,0.022351332,0.020695746,0.023167765,0.020695746,0.020875478,0.0218177,0.021480033,0.02181109,0.026123261,0.020695746,0.021670904,0.020695746,0.022476079,0.020695746,0.020695746,0.022276927,0.022881087,0.024501726,0.021399463,0.021047954,0.022279765,0.02116719,0.020695746,0.022932831,0.020695746,0.02244414,0.020695746,0.021278093,0.020695746,0.024252215
4,0.02062596,0.02338466,0.024111075,0.023019796,0.027920606,0.02101552,0.020510945,0.024469875,0.020510945,0.020510945,0.020510945,0.021653228,0.020510945,0.022417532,0.020510945,0.022119358,0.021048551,0.022575328,0.021758124,0.025033811,0.021496406,0.02288052,0.020510945,0.024144685,0.022256313,0.022011613,0.022051344,0.020731043,0.020510945,0.020510945,0.02445481,0.02105972,0.025984542,0.02210614,0.021052906,0.020510945,0.024509264,0.020510945,0.020510945,0.02415245,0.02616894,0.021145884,0.021015875,0.020803185,0.024689592
5,0.020882292,0.020882292,0.020882292,0.020882292,0.021396,0.029760007,0.02303946,0.020882292,0.020882292,0.020882292,0.024094723,0.02110027,0.024227876,0.02312951,0.020882292,0.020958664,0.022939833,0.020882292,0.024055934,0.020882292,0.021830808,0.022921797,0.024955971,0.020882292,0.024534656,0.020882292,0.020882292,0.020882292,0.020882292,0.020882292,0.020882292,0.023006434,0.020882292,0.022612937,0.020882292,0.020882292,0.024897749,0.023527814,0.020882292,0.021248044,0.021395989,0.026435401,0.026685972,0.021833627,0.020882292
6,0.020680742,0.020680742,0.021846062,0.02220511,0.020680742,0.02281709,0.034549642,0.02218112,0.020680742,0.020978274,0.026312247,0.020680742,0.023155335,0.02472113,0.020680742,0.020680742,0.021109546,0.020680742,0.023385853,0.020680742,0.024127403,0.02099775,0.028879879,0.022936234,0.022401229,0.020680742,0.02247321,0.020680742,0.020680742,0.024466384,0.020680742,0.026444683,0.020680742,0.022293959,0.020680742,0.020680742,0.020680742,0.021235045,0.020680742,0.020680742,0.020680742,0.020680742,0.024825936,0.020680742,0.020680742
7,0.022543082,0.022478413,0.025228245,0.026009502,0.024656009,0.020666964,0.022166342,0.026662074,0.02200754,0.023542387,0.020666964,0.02143182,0.020666964,0.021326747,0.020666964,0.021912523,0.020666964,0.022947842,0.020666964,0.022287078,0.020666964,0.020666964,0.020666964,0.025665047,0.021098558,0.020666964,0.02277642,0.021998178,0.021196533,0.022822501,0.02396706,0.022277877,0.026331771,0.021599412,0.020666964,0.02185543,0.021023778,0.021354862,0.021239992,0.02185626,0.024522165,0.020666964,0.021490997,0.02101405,0.02270593
8,0.0235357,0.021216772,0.022928527,0.023446726,0.020492077,0.020492077,0.020492077,0.021821309,0.031005338,0.027157657,0.020512845,0.02582445,0.020492077,0.020492077,0.020492077,0.021713765,0.020492077,0.02117154,0.020492077,0.020492077,0.02315817,0.02105699,0.021521883,0.024087138,0.020492077,0.021960191,0.020492077,0.02434343,0.02669559,0.020492077,0.020492077,0.020492077,0.022293292,0.02083996,0.022902602,0.026008287,0.023642916,0.022769157,0.021883382,0.023073824,0.023148365,0.021914808,0.020492077,0.020492077,0.020492077
9,0.025222015,0.021806857,0.021655854,0.023472292,0.020333266,0.020333266,0.0206258,0.02316226,0.026947191,0.0315379,0.020333266,0.023210986,0.020529257,0.020333266,0.023037191,0.020860782,0.020333266,0.023287052,0.020333266,0.020333266,0.021746777,0.020333266,0.020333266,0.022712968,0.020333266,0.020653948,0.022986745,0.025400937,0.029386863,0.022419639,0.02205352,0.020333266,0.022730397,0.021168469,0.024202678,0.025866138,0.020333266,0.022990666,0.023315188,0.020490624,0.021186782,0.020333266,0.020333266,0.020333266,0.020333266
