2023-08-13 00:06:02,783 - CAPE TOWN WO - INFO - TCN model training started at CAPE TOWN WO
2023-08-13 00:06:02,956 - CAPE TOWN WO - INFO - TCN Model on split 1/3 at CAPE TOWN WO station forecasting 3 hours ahead.
2023-08-13 00:06:21,390 - CAPE TOWN WO - INFO - Date 2010-01-02 06:00:00 Index 30 - Actual: 0.3486842105263155, Predicted: -2.79880428314209
2023-08-13 00:06:21,508 - CAPE TOWN WO - INFO - Date 2010-01-02 07:00:00 Index 31 - Actual: 0.27631578947368407, Predicted: 13.661601066589355
2023-08-13 00:06:21,628 - CAPE TOWN WO - INFO - Date 2010-01-02 08:00:00 Index 32 - Actual: 0.26973684210526283, Predicted: -2.425917625427246
2023-08-13 00:06:21,774 - CAPE TOWN WO - INFO - Date 2010-01-02 09:00:00 Index 33 - Actual: 0.6644736842105261, Predicted: -2.789463996887207
2023-08-13 00:06:21,992 - CAPE TOWN WO - INFO - Date 2010-01-02 10:00:00 Index 34 - Actual: 0.6052631578947367, Predicted: 13.671241760253906
2023-08-13 00:06:22,115 - CAPE TOWN WO - INFO - Date 2010-01-02 11:00:00 Index 35 - Actual: 0.5657894736842102, Predicted: -2.444157361984253
2023-08-13 00:06:22,223 - CAPE TOWN WO - INFO - Date 2010-01-02 12:00:00 Index 36 - Actual: 0.5657894736842102, Predicted: -2.7883565425872803
2023-08-13 00:06:22,337 - CAPE TOWN WO - INFO - Date 2010-01-02 13:00:00 Index 37 - Actual: 0.519736842105263, Predicted: 13.665119171142578
2023-08-13 00:06:22,444 - CAPE TOWN WO - INFO - Date 2010-01-02 14:00:00 Index 38 - Actual: 0.4473684210526312, Predicted: -2.444340467453003
2023-08-13 00:06:22,551 - CAPE TOWN WO - INFO - Date 2010-01-02 15:00:00 Index 39 - Actual: 0.7039473684210524, Predicted: -2.789919137954712
2023-08-13 00:06:22,664 - CAPE TOWN WO - INFO - Date 2010-01-02 16:00:00 Index 40 - Actual: 0.6907894736842104, Predicted: 13.648122787475586
2023-08-13 00:06:22,777 - CAPE TOWN WO - INFO - Date 2010-01-02 17:00:00 Index 41 - Actual: 0.6776315789473681, Predicted: -2.4712588787078857
2023-08-13 00:06:22,941 - CAPE TOWN WO - INFO - Date 2010-01-02 18:00:00 Index 42 - Actual: 0.4999999999999998, Predicted: -2.8032915592193604
2023-08-13 00:06:23,071 - CAPE TOWN WO - INFO - Date 2010-01-02 19:00:00 Index 43 - Actual: 0.7105263157894735, Predicted: 13.65662956237793
2023-08-13 00:06:23,194 - CAPE TOWN WO - INFO - Date 2010-01-02 20:00:00 Index 44 - Actual: 0.9473684210526312, Predicted: -2.486128568649292
2023-08-13 00:06:23,307 - CAPE TOWN WO - INFO - Date 2010-01-02 21:00:00 Index 45 - Actual: 0.3486842105263155, Predicted: -2.7945401668548584
2023-08-13 00:06:23,421 - CAPE TOWN WO - INFO - Date 2010-01-02 22:00:00 Index 46 - Actual: 0.4473684210526312, Predicted: 13.678658485412598
2023-08-13 00:06:23,533 - CAPE TOWN WO - INFO - Date 2010-01-02 23:00:00 Index 47 - Actual: 0.49342105263157876, Predicted: -2.488039255142212
2023-08-13 00:06:23,646 - CAPE TOWN WO - INFO - Date 2010-01-03 00:00:00 Index 48 - Actual: 0.2565789473684208, Predicted: -2.801234483718872
2023-08-13 00:06:23,759 - CAPE TOWN WO - INFO - Date 2010-01-03 01:00:00 Index 49 - Actual: 0.34210526315789447, Predicted: 13.674677848815918
2023-08-13 00:06:23,873 - CAPE TOWN WO - INFO - Date 2010-01-03 02:00:00 Index 50 - Actual: 0.4999999999999998, Predicted: -2.500528573989868
2023-08-13 00:06:23,985 - CAPE TOWN WO - INFO - Date 2010-01-03 03:00:00 Index 51 - Actual: 0.34210526315789447, Predicted: -2.7909014225006104
2023-08-13 00:06:24,098 - CAPE TOWN WO - INFO - Date 2010-01-03 04:00:00 Index 52 - Actual: 0.30263157894736814, Predicted: 13.654426574707031
2023-08-13 00:06:24,212 - CAPE TOWN WO - INFO - Date 2010-01-03 05:00:00 Index 53 - Actual: 0.26973684210526283, Predicted: -2.480738401412964
2023-08-13 00:06:24,355 - CAPE TOWN WO - INFO - Date 2010-01-03 06:00:00 Index 54 - Actual: 0.30263157894736814, Predicted: -2.7882611751556396
2023-08-13 00:06:24,468 - CAPE TOWN WO - INFO - Date 2010-01-03 07:00:00 Index 55 - Actual: 0.30263157894736814, Predicted: 13.649057388305664
2023-08-13 00:06:24,581 - CAPE TOWN WO - INFO - Date 2010-01-03 08:00:00 Index 56 - Actual: 0.2894736842105261, Predicted: -2.468189239501953
2023-08-13 00:06:24,686 - CAPE TOWN WO - INFO - Date 2010-01-03 09:00:00 Index 57 - Actual: 0.6907894736842104, Predicted: -2.782851457595825
2023-08-13 00:06:24,794 - CAPE TOWN WO - INFO - Date 2010-01-03 10:00:00 Index 58 - Actual: 0.6776315789473681, Predicted: 13.653514862060547
2023-08-13 00:06:24,901 - CAPE TOWN WO - INFO - Date 2010-01-03 11:00:00 Index 59 - Actual: 0.6973684210526314, Predicted: -2.460916519165039
2023-08-13 00:06:25,007 - CAPE TOWN WO - INFO - Date 2010-01-03 12:00:00 Index 60 - Actual: 0.26315789473684204, Predicted: -2.7978875637054443
2023-08-13 00:06:25,120 - CAPE TOWN WO - INFO - Date 2010-01-03 13:00:00 Index 61 - Actual: 0.3486842105263155, Predicted: 13.666080474853516
2023-08-13 00:06:25,226 - CAPE TOWN WO - INFO - Date 2010-01-03 14:00:00 Index 62 - Actual: 0.4078947368421051, Predicted: -2.482168436050415
2023-08-13 00:06:25,333 - CAPE TOWN WO - INFO - Date 2010-01-03 15:00:00 Index 63 - Actual: 0.30263157894736814, Predicted: -2.7920706272125244
2023-08-13 00:06:25,442 - CAPE TOWN WO - INFO - Date 2010-01-03 16:00:00 Index 64 - Actual: 0.2894736842105261, Predicted: 13.652082443237305
2023-08-13 00:06:25,548 - CAPE TOWN WO - INFO - Date 2010-01-03 17:00:00 Index 65 - Actual: 0.34210526315789447, Predicted: -2.47416615486145
