,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,0.014609468,0.033525098,0.020274557,0.012654863,0.02043031,0.012654863,0.012654863,0.027487157,0.012654863,0.49951455,0.012654863,0.012654863,0.012654863,0.012654863,0.15762483,0.10287802,0.012654863,0.05391098,0.012654863,0.034146782,0.012654863
1,0.0046387445,0.0046387445,0.0046387445,0.007954326,0.09129977,0.0046387445,0.0046387445,0.0046387445,0.0046387445,0.76269543,0.0046387445,0.13082886,0.0046387445,0.0046387445,0.007502388,0.012240913,0.008708069,0.013383781,0.0046387445,0.013326829,0.0046387445
2,0.21917307,0.015677745,0.25741494,0.011618802,0.02525021,0.071249925,0.011618802,0.02536747,0.06305449,0.13391684,0.011618802,0.011618802,0.011618802,0.020040497,0.011618802,0.011618802,0.011618802,0.014544754,0.13466284,0.018683236,0.011618802
3,0.09771385,0.004329756,0.33908212,0.004329756,0.004329756,0.013697765,0.004329756,0.012230476,0.004329756,0.5020436,0.004329756,0.011381791,0.004329756,0.022545805,0.004329756,0.004329756,0.004329756,0.038917407,0.004329756,0.014035462,0.004329756
4,0.019314552,0.09747022,0.009755426,0.009755426,0.009755426,0.0866968,0.009755426,0.3990623,0.047814537,0.009755426,0.053425856,0.009755426,0.009755426,0.12615992,0.009755426,0.05402283,0.028248835,0.009755426,0.07592159,0.009755426,0.017913647
5,0.045858264,0.0065991054,0.054799743,0.0065991054,0.0065991054,0.023128986,0.024537843,0.010717435,0.04659893,0.0065991054,0.18657976,0.013906479,0.055274203,0.045002677,0.061721604,0.41269082,0.013564805,0.029716928,0.0065991054,0.039912086,0.0065991054
6,0.0064637405,0.023353964,0.0064637405,0.01311282,0.0416554,0.0064637405,0.006726883,0.0064637405,0.0064637405,0.025299411,0.0064637405,0.0064637405,0.0064637405,0.0064637405,0.0064637405,0.0064637405,0.0064637405,0.007114954,0.8759134,0.0064637405,0.026399832
7,0.18953815,0.008197488,0.2256513,0.008197488,0.008197488,0.024145335,0.03162581,0.029804058,0.017276734,0.011611544,0.014134111,0.008197488,0.09580855,0.008197488,0.18967783,0.024665147,0.008197488,0.01574127,0.008197488,0.1683456,0.008197488
8,0.018910205,0.018910205,0.018910205,0.022980083,0.06359371,0.018910205,0.018910205,0.018910205,0.018910205,0.07909646,0.018910205,0.018910205,0.018910205,0.018910205,0.018910205,0.15698063,0.4603099,0.018910205,0.018910205,0.0369914,0.018910205
9,0.017977841,0.29245576,0.017977841,0.1392055,0.017977841,0.017977841,0.031492207,0.017977841,0.09021376,0.017977841,0.017977841,0.017977841,0.09281192,0.017977841,0.017977841,0.017977841,0.10133993,0.017977841,0.017977841,0.017977841,0.104396515
10,0.028641913,0.0002341731,0.69515806,0.0002341731,0.0002341731,0.083659925,0.0002341731,0.0002341731,0.001099262,0.0016017562,0.01809441,0.0012284423,0.0002341731,0.0010234916,0.00028955803,0.0002341731,0.0002341731,0.0002341731,0.2620566,0.000321946,0.008322293
11,0.010940588,0.0009059658,0.07687699,0.001702157,0.0014519261,0.75244135,0.0009059658,0.0009059658,0.032495756,0.0009059658,0.0014003478,0.009099497,0.10275997,0.0022373952,0.0009059658,0.0009059658,0.10313963,0.0009059658,0.0009059658,0.0009059658,0.0009059658
12,0.07102054,0.0005597995,0.0068838703,0.0005597995,0.0035575419,0.0005597995,0.029798869,0.17077823,0.025003146,0.3651927,0.0005597995,0.0005597995,0.007873669,0.0045987815,0.0005597995,0.0005597995,0.0005597995,0.34751832,0.00058268954,0.06575863,0.0005597995
13,0.07247993,0.0019553574,0.7847483,0.0019553574,0.0036563596,0.0736584,0.0019553574,0.0022603013,0.0019553574,0.007172263,0.07127137,0.0019553574,0.0019553574,0.0019553574,0.033164628,0.0019553574,0.0019553574,0.0019553574,0.023212418,0.009028539,0.0033991996
14,0.004879837,0.0043675317,0.0043675317,0.0049120425,0.00897509,0.0066210795,0.010176134,0.0043675317,0.093223296,0.0043675317,0.2247005,0.0043675317,0.0142688975,0.0043675317,0.024763605,0.0043675317,0.0043675317,0.0043675317,0.65847903,0.005457221,0.007840933
15,0.032866333,0.032866333,0.032866333,0.032866333,0.032866333,0.037838843,0.032866333,0.04309416,0.032866333,0.040289663,0.03383283,0.06463535,0.032866333,0.13087931,0.032866333,0.2317489,0.073236264,0.052645613,0.032866333,0.032866333,0.033874616
16,0.0008656833,0.26721683,0.0008656833,0.00097043,0.0008656833,0.0014365277,0.002710013,0.74638814,0.0008656833,0.0008656833,0.0008656833,0.005633684,0.050596215,0.01739958,0.0008656833,0.0008656833,0.0008656833,0.0008656833,0.0008656833,0.0008656833,0.0008656833
17,0.05097195,0.002285228,0.07767653,0.008681406,0.03675762,0.004505852,0.002327122,0.002285228,0.53876483,0.009995411,0.014514276,0.055027757,0.002285228,0.002285228,0.002285228,0.002285228,0.019711392,0.002285228,0.2368485,0.008698644,0.023127424
18,0.0004587017,0.0006326601,0.0002460226,0.0004071454,0.03513639,0.00032814822,0.0002460226,0.0002460226,0.05589754,0.00035315362,0.0002460226,0.0004946222,0.0002460226,0.0010774316,0.0002460226,0.0002460226,0.0033380142,0.0002460226,1.0,0.0002460226,0.0032671231
19,0.28799608,0.00167895,0.4202118,0.00167895,0.00167895,0.281291,0.00167895,0.016739707,0.00167895,0.031794272,0.016064655,0.00167895,0.00167895,0.016228696,0.0037278861,0.0026103887,0.00167895,0.003041594,0.0022147805,0.006573766,0.00167895
20,0.08508074,0.053190768,0.020353133,0.020353133,0.09339783,0.020353133,0.020353133,0.15100491,0.028209217,0.12074533,0.020353133,0.020353133,0.020353133,0.020353133,0.020353133,0.020353133,0.020353133,0.034539565,0.1987936,0.086456634,0.028302278
