,0
0,0.47222222222222215
1,0.4743589743589743
2,0.47222222222222215
3,0.4914529914529914
4,0.45299145299145294
5,0.4572649572649572
6,0.32692307692307687
7,0.31410256410256404
8,0.3482905982905982
9,0.39743589743589736
10,0.46153846153846145
11,0.4743589743589743
12,0.8076923076923075
13,0.7927350427350426
14,0.7606837606837606
15,0.6709401709401708
16,0.626068376068376
17,0.5598290598290597
18,0.5769230769230769
19,0.5918803418803418
20,0.5833333333333333
21,0.5833333333333333
22,0.5512820512820511
23,0.5427350427350426
24,0.4636752136752136
25,0.4679487179487179
26,0.45512820512820507
27,0.43589743589743585
28,0.376068376068376
29,0.3952991452991452
30,0.8333333333333333
31,0.8482905982905982
32,0.8418803418803418
33,0.8418803418803418
34,0.8098290598290596
35,0.8098290598290596
36,0.13247863247863245
37,0.11538461538461536
38,0.10256410256410253
39,0.07905982905982903
40,0.2735042735042735
41,0.3867521367521367
42,0.29059829059829057
43,0.28846153846153844
44,0.26709401709401703
45,0.2649572649572649
46,0.26068376068376065
47,0.31410256410256404
48,0.5042735042735043
49,0.5106837606837606
50,0.49786324786324776
51,0.5448717948717947
52,0.5854700854700854
53,0.5769230769230769
54,0.3867521367521367
55,0.39102564102564097
56,0.3589743589743589
57,0.3376068376068375
58,0.3376068376068375
59,0.3119658119658119
60,0.6538461538461537
61,0.6495726495726495
62,0.6303418803418802
63,0.5918803418803418
64,0.5448717948717947
65,0.4508547008547008
66,0.39102564102564097
67,0.38888888888888884
68,0.3589743589743589
69,0.3632478632478632
70,0.32692307692307687
71,0.31410256410256404
72,0.4572649572649572
73,0.485042735042735
74,0.4786324786324786
75,0.4658119658119657
76,0.47008547008547
77,0.48290598290598286
78,0.5299145299145298
79,0.49999999999999994
80,0.47008547008547
81,0.4764957264957264
82,0.47008547008547
83,0.4594017094017093
84,0.376068376068376
85,0.42521367521367515
86,0.4871794871794871
87,0.5405982905982905
88,0.5833333333333333
89,0.6153846153846152
90,0.6132478632478632
91,0.626068376068376
92,0.6217948717948717
93,0.6025641025641024
94,0.5277777777777777
95,0.4871794871794871
96,0.11538461538461536
97,0.10256410256410253
98,0.07905982905982903
99,0.2735042735042735
100,0.3867521367521367
101,0.47222222222222215
102,0.47008547008547
103,0.4594017094017093
104,0.4572649572649572
105,0.45512820512820507
106,0.44444444444444436
107,0.43589743589743585
108,0.7243589743589742
109,0.7329059829059827
110,0.7393162393162391
111,0.7286324786324785
112,0.6794871794871793
113,0.5876068376068375
114,0.2756410256410256
115,0.23504273504273498
116,0.2457264957264957
117,0.2243589743589743
118,0.22649572649572644
119,0.1645299145299145
120,0.49572649572649563
121,0.4743589743589743
122,0.45299145299145294
123,0.44230769230769224
124,0.42521367521367515
125,0.4209401709401709
126,0.5982905982905982
127,0.5811965811965811
128,0.5256410256410255
129,0.4487179487179487
130,0.4209401709401709
131,0.438034188034188
132,0.5512820512820511
133,0.6132478632478632
134,0.6346153846153846
135,0.596153846153846
