2023-08-12 23:44:24,206 - BARKLY-OOS (CAERLEON) - INFO - TCN model training started at BARKLY-OOS (CAERLEON)
2023-08-12 23:44:24,396 - BARKLY-OOS (CAERLEON) - INFO - TCN Model on split 1/3 at BARKLY-OOS (CAERLEON) station forecasting 3 hours ahead.
2023-08-12 23:44:37,632 - BARKLY-OOS (CAERLEON) - INFO - Date 2010-01-02 07:00:00 Index 31 - Actual: 0.3333333333333334, Predicted: -1.1069178581237793
2023-08-12 23:44:37,771 - BARKLY-OOS (CAERLEON) - INFO - Date 2010-01-02 08:00:00 Index 32 - Actual: 0.30158730158730157, Predicted: 8.879469871520996
2023-08-12 23:44:38,170 - BARKLY-OOS (CAERLEON) - INFO - Date 2010-01-02 09:00:00 Index 33 - Actual: 0.8518518518518521, Predicted: 0.3549307882785797
2023-08-12 23:44:38,352 - BARKLY-OOS (CAERLEON) - INFO - Date 2010-01-02 10:00:00 Index 34 - Actual: 0.7671957671957672, Predicted: -2.21806263923645
2023-08-12 23:44:38,561 - BARKLY-OOS (CAERLEON) - INFO - Date 2010-01-02 11:00:00 Index 35 - Actual: 0.7460317460317463, Predicted: 9.326725959777832
2023-08-12 23:44:38,892 - BARKLY-OOS (CAERLEON) - INFO - Date 2010-01-02 12:00:00 Index 36 - Actual: 0.7460317460317463, Predicted: 0.3744441568851471
2023-08-12 23:44:39,057 - BARKLY-OOS (CAERLEON) - INFO - Date 2010-01-02 13:00:00 Index 37 - Actual: 0.7460317460317463, Predicted: -2.1711182594299316
2023-08-12 23:44:39,273 - BARKLY-OOS (CAERLEON) - INFO - Date 2010-01-02 14:00:00 Index 38 - Actual: 0.5185185185185186, Predicted: 9.101381301879883
2023-08-12 23:44:39,442 - BARKLY-OOS (CAERLEON) - INFO - Date 2010-01-02 15:00:00 Index 39 - Actual: 0.8518518518518521, Predicted: -0.01751025766134262
2023-08-12 23:44:39,650 - BARKLY-OOS (CAERLEON) - INFO - Date 2010-01-02 16:00:00 Index 40 - Actual: 0.7883597883597884, Predicted: -1.2791321277618408
2023-08-12 23:44:39,842 - BARKLY-OOS (CAERLEON) - INFO - Date 2010-01-02 17:00:00 Index 41 - Actual: 0.962962962962963, Predicted: 9.670395851135254
2023-08-12 23:44:40,024 - BARKLY-OOS (CAERLEON) - INFO - Date 2010-01-02 18:00:00 Index 42 - Actual: 0.6031746031746033, Predicted: -0.26862868666648865
2023-08-12 23:44:40,182 - BARKLY-OOS (CAERLEON) - INFO - Date 2010-01-02 19:00:00 Index 43 - Actual: 0.7566137566137567, Predicted: -0.9227972030639648
2023-08-12 23:44:40,350 - BARKLY-OOS (CAERLEON) - INFO - Date 2010-01-02 20:00:00 Index 44 - Actual: 0.8994708994708995, Predicted: 8.982250213623047
2023-08-12 23:44:40,474 - BARKLY-OOS (CAERLEON) - INFO - Date 2010-01-02 21:00:00 Index 45 - Actual: 0.5714285714285716, Predicted: 0.45091763138771057
2023-08-12 23:44:40,587 - BARKLY-OOS (CAERLEON) - INFO - Date 2010-01-02 22:00:00 Index 46 - Actual: 0.5449735449735451, Predicted: -1.7571241855621338
2023-08-12 23:44:40,696 - BARKLY-OOS (CAERLEON) - INFO - Date 2010-01-02 23:00:00 Index 47 - Actual: 0.34920634920634924, Predicted: 9.04866886138916
2023-08-12 23:44:40,805 - BARKLY-OOS (CAERLEON) - INFO - Date 2010-01-03 00:00:00 Index 48 - Actual: 0.3068783068783069, Predicted: 0.014793074689805508
2023-08-12 23:44:40,913 - BARKLY-OOS (CAERLEON) - INFO - Date 2010-01-03 01:00:00 Index 49 - Actual: 0.4074074074074074, Predicted: -1.2387149333953857
