Actual,Predicted
1.0699999999999998,-3.0099802
0.9850000000000002,1.6185443
0.8449999999999999,2.001405
0.88,-3.3684385
0.8899999999999998,1.7957301
0.8350000000000001,2.089739
0.995,-3.4692967
1.065,1.8232844
1.0749999999999995,1.9831033
0.9850000000000002,-3.004534
0.8449999999999999,1.4959037
0.6449999999999999,2.1870985
0.6449999999999999,-2.857186
0.5499999999999999,1.592807
0.4649999999999999,2.1207843
0.2149999999999999,-3.9078043
0.1749999999999999,2.1972983
0.0799999999999999,1.841485
0.4649999999999999,-3.136578
0.4249999999999999,1.889296
0.3199999999999999,1.909524
0.04,-3.951392
0.015,1.8451736
0.1249999999999998,2.1116266
0.7000000000000001,-2.9001951
0.535,1.6403983
0.4449999999999999,2.0960522
0.3750000000000001,-3.150741
0.36,1.7918345
0.295,1.9980536
0.36,-3.1578364
0.295,1.9355445
0.235,2.0549972
0.8449999999999999,-2.8942149
0.6449999999999999,1.7090281
0.5499999999999999,2.2269392
0.5499999999999999,-2.9222763
0.4649999999999999,1.7296519
0.4249999999999999,1.8664031
1.065,-3.0923645
1.0749999999999995,1.4869715
1.0699999999999998,2.2730072
1.0699999999999998,-3.523494
1.1350000000000002,1.5094385
1.1399999999999997,2.1629908
0.805,-3.8217626
0.87,1.8860985
0.88,2.1068223
0.965,-3.8049943
1.06,1.9366727
1.0699999999999998,2.105393
0.065,-3.9649389
0.255,1.810024
0.39,2.2465806
0.1050000000000001,-4.3122625
0.055,1.9993526
0.075,1.8483573
1.0749999999999995,-3.0979984
1.0699999999999998,1.5785886
0.9850000000000002,2.1530895
0.6600000000000003,-4.3689547
0.7850000000000003,2.0948372
0.8850000000000001,2.1727276
0.055,-3.8960052
0.075,2.064402
0.065,2.1929834
0.015,-3.9566658
0.1249999999999998,2.0157347
0.42,2.1753993
0.39,-4.3257813
0.505,2.1403596
0.6600000000000003,1.9167442
0.1249999999999998,-3.891308
0.42,1.8004799
0.6649999999999999,2.18806
0.535,-2.8479564
0.4449999999999999,1.6652617
0.3750000000000001,2.0895069
0.235,-4.026902
0.1949999999999999,2.2918477
0.1050000000000001,1.9080417
0.9399999999999998,-3.797339
0.995,2.0146744
1.065,2.0801291
0.8899999999999998,-3.0650337
0.8350000000000001,1.8581815
0.7000000000000001,1.9462452
0.075,-3.8665712
0.065,1.4865378
0.255,2.2894928
0.4249999999999999,-3.3716676
0.3199999999999999,1.9512553
0.2149999999999999,1.8075027
0.1949999999999999,-4.0637784
0.1050000000000001,2.2197156
0.055,1.9557683
0.1749999999999999,-4.036367
0.0799999999999999,2.2251005
0.04,1.9225433
0.695,-4.024736
0.805,1.8832712
0.87,2.1774113
0.295,-3.5970464
0.235,1.7317916
0.1949999999999999,2.175211
0.42,-3.9640598
0.6649999999999999,1.7428198
0.8550000000000001,2.1202204
0.8850000000000001,-4.0198054
0.9399999999999998,2.1262577
0.995,2.1491103
0.8350000000000001,-3.026803
0.7000000000000001,1.6796669
0.535,2.0260847
0.7850000000000003,-4.117056
0.8850000000000001,2.168095
0.9399999999999998,2.2103095
0.3199999999999999,-3.7161987
0.2149999999999999,2.1575558
0.1749999999999999,1.7608209
0.505,-4.474746
0.6600000000000003,1.9536413
0.7850000000000003,2.0873969
0.255,-4.072801
0.39,2.1807194
0.505,2.0122185
0.4449999999999999,-2.8629844
0.3750000000000001,1.722095
0.36,2.0612595
0.0799999999999999,-3.9996884
0.04,2.1230936
0.015,2.0886261
0.8550000000000001,-3.7797625
0.965,1.9213208
1.06,2.1625426
0.87,-3.601568
0.88,1.7293618
0.8899999999999998,2.1436403
0.68,-4.1378083
0.695,2.100079
0.805,2.107296
1.06,-3.6297555
1.0699999999999998,1.7719233
1.1350000000000002,2.127846
0.6649999999999999,-3.8014538
0.8550000000000001,1.9038597
0.965,2.0026302
