2023-08-13 00:07:44,557 - DE AAR WO - INFO - TCN model training started at DE AAR WO
2023-08-13 00:07:44,716 - DE AAR WO - INFO - TCN Model on split 1/3 at DE AAR WO station forecasting 3 hours ahead.
2023-08-13 00:08:03,630 - DE AAR WO - INFO - Date 2010-01-02 08:00:00 Index 32 - Actual: 0.4528301886792452, Predicted: 1.6454795598983765
2023-08-13 00:08:03,751 - DE AAR WO - INFO - Date 2010-01-02 09:00:00 Index 33 - Actual: 1.1069182389937107, Predicted: 8.489498138427734
2023-08-13 00:08:03,867 - DE AAR WO - INFO - Date 2010-01-02 10:00:00 Index 34 - Actual: 1.1006289308176098, Predicted: -10.404167175292969
2023-08-13 00:08:03,993 - DE AAR WO - INFO - Date 2010-01-02 11:00:00 Index 35 - Actual: 1.0125786163522013, Predicted: 1.6494807004928589
2023-08-13 00:08:04,112 - DE AAR WO - INFO - Date 2010-01-02 12:00:00 Index 36 - Actual: 1.0125786163522013, Predicted: 8.478937149047852
2023-08-13 00:08:04,234 - DE AAR WO - INFO - Date 2010-01-02 13:00:00 Index 37 - Actual: 0.8867924528301885, Predicted: -10.409934043884277
2023-08-13 00:08:04,341 - DE AAR WO - INFO - Date 2010-01-02 14:00:00 Index 38 - Actual: 0.5660377358490567, Predicted: 1.6515330076217651
2023-08-13 00:08:04,456 - DE AAR WO - INFO - Date 2010-01-02 15:00:00 Index 39 - Actual: 0.8616352201257862, Predicted: 8.525230407714844
2023-08-13 00:08:04,580 - DE AAR WO - INFO - Date 2010-01-02 16:00:00 Index 40 - Actual: 1.0125786163522013, Predicted: -10.415369987487793
2023-08-13 00:08:04,701 - DE AAR WO - INFO - Date 2010-01-02 17:00:00 Index 41 - Actual: 1.0251572327044025, Predicted: 1.6391501426696777
2023-08-13 00:08:04,814 - DE AAR WO - INFO - Date 2010-01-02 18:00:00 Index 42 - Actual: 0.4150943396226414, Predicted: 8.506139755249023
2023-08-13 00:08:04,922 - DE AAR WO - INFO - Date 2010-01-02 19:00:00 Index 43 - Actual: 0.5220125786163523, Predicted: -10.412714958190918
2023-08-13 00:08:05,046 - DE AAR WO - INFO - Date 2010-01-02 20:00:00 Index 44 - Actual: 0.6603773584905661, Predicted: 1.6555129289627075
